gen1_locus,gen1_nombre,gen1_fin,gen1_hebra,gen2_locus,gen2_nombre,gen2_inicio,gen2_hebra,distancia_pb,tipo,misma_hebra
HRS04_RS00075,acnB,4832047,-,HRS04_RS00080,citG,337,-,-4831710,Solapado,True
HRS04_RS00080,citG,1225,-,HRS04_RS00085,citX,1199,-,-26,Solapado,True
HRS04_RS00085,citX,1751,-,HRS04_RS00090,citF,1754,-,3,Muy cercano (< 50 pb),True
HRS04_RS00090,citF,3287,-,HRS04_RS00095,citE,3297,-,10,Muy cercano (< 50 pb),True
HRS04_RS00095,citE,4206,-,HRS04_RS00100,citD,4202,-,-4,Solapado,True
HRS04_RS00100,citD,4499,-,HRS04_RS00105,citC,4513,-,14,Muy cercano (< 50 pb),True
HRS04_RS00105,citC,5569,-,HRS04_RS00110,,5574,-,5,Muy cercano (< 50 pb),True
HRS04_RS00110,,6978,-,HRS04_RS00115,,6955,-,-23,Solapado,True
HRS04_RS00115,,7753,-,HRS04_RS00120,,7875,+,122,Moderado (100-200 pb),False
HRS04_RS00120,,8601,+,HRS04_RS00125,,8948,-,347,Normal (200-500 pb),False
HRS04_RS00125,,9182,-,HRS04_RS00130,,9782,+,600,Grande (> 500 pb),False
HRS04_RS00130,,10814,+,HRS04_RS00135,,11099,+,285,Normal (200-500 pb),True
HRS04_RS00135,,12053,+,HRS04_RS00140,,12117,+,64,Cercano (50-100 pb),True
HRS04_RS00140,,13650,+,HRS04_RS00145,,13636,+,-14,Solapado,True
HRS04_RS00145,,14656,+,HRS04_RS00150,,14733,+,77,Cercano (50-100 pb),True
HRS04_RS00150,,16104,+,HRS04_RS00155,,16100,+,-4,Solapado,True
HRS04_RS00155,,17021,+,HRS04_RS00160,tnpA,17459,+,438,Normal (200-500 pb),True
HRS04_RS00160,tnpA,18137,+,HRS04_RS00165,,18136,+,-1,Solapado,True
HRS04_RS00165,,18223,+,HRS04_RS00170,tnpA,18300,+,77,Cercano (50-100 pb),True
HRS04_RS00170,tnpA,18726,+,HRS04_RS00175,tnpB,18722,+,-4,Solapado,True
HRS04_RS00175,tnpB,19073,+,HRS04_RS00180,,19103,+,30,Muy cercano (< 50 pb),True
HRS04_RS00180,,20717,+,HRS04_RS00185,tnpB,20748,+,31,Muy cercano (< 50 pb),True
HRS04_RS00185,tnpB,21024,+,HRS04_RS00190,,21043,+,19,Muy cercano (< 50 pb),True
HRS04_RS00190,,22615,+,HRS04_RS00195,,22754,-,139,Moderado (100-200 pb),False
HRS04_RS00195,,23165,-,HRS04_RS00200,,23179,-,14,Muy cercano (< 50 pb),True
HRS04_RS00200,,23787,-,HRS04_RS00205,,24035,-,248,Normal (200-500 pb),True
HRS04_RS00205,,24296,-,HRS04_RS00210,,24292,+,-4,Solapado,False
HRS04_RS00210,,24418,+,HRS04_RS00215,,24445,-,27,Muy cercano (< 50 pb),False
HRS04_RS00215,,24639,-,HRS04_RS00220,,26674,-,2035,Grande (> 500 pb),True
HRS04_RS00220,,27258,-,HRS04_RS00225,,27450,+,192,Moderado (100-200 pb),False
HRS04_RS00225,,28379,+,HRS04_RS00230,,28706,+,327,Normal (200-500 pb),True
HRS04_RS00230,,29647,+,HRS04_RS00235,,29634,+,-13,Solapado,True
