ranking,distancia_pb,gen1_locus,gen1_nombre,gen1_hebra,gen2_locus,gen2_nombre,gen2_hebra,misma_hebra
1,1234,ACBD56_RS18370,,-,ACBD56_RS18375,,+,False
2,1014,ACBD56_RS15105,,+,ACBD56_RS15110,drt2,+,True
3,971,ACBD56_RS14150,,-,ACBD56_RS14155,hlyA,+,False
4,892,ACBD56_RS17045,,-,ACBD56_RS17050,,+,False
5,771,ACBD56_RS13650,,-,ACBD56_RS13655,,+,False
6,748,ACBD56_RS17050,,+,ACBD56_RS17055,,+,True
7,747,ACBD56_RS15380,dhiA,+,ACBD56_RS15385,,+,True
8,709,ACBD56_RS17195,cydX,+,ACBD56_RS17200,,+,True
9,679,ACBD56_RS16985,ectA,-,ACBD56_RS16990,,-,True
10,673,ACBD56_RS18025,,+,ACBD56_RS18030,,+,True
11,672,ACBD56_RS17495,malE,-,ACBD56_RS17500,malK,+,False
12,671,ACBD56_RS16450,,-,ACBD56_RS16455,,+,False
13,670,ACBD56_RS16415,,-,ACBD56_RS16420,secF,-,True
14,666,ACBD56_RS15795,tnpA,+,ACBD56_RS15800,yciH,-,False
15,665,ACBD56_RS14930,,+,ACBD56_RS14935,,+,True
16,654,ACBD56_RS16655,,-,ACBD56_RS16660,glpA,+,False
17,653,ACBD56_RS17440,cspE,+,ACBD56_RS17445,,+,True
18,649,ACBD56_RS14585,,+,ACBD56_RS14590,,+,True
19,647,ACBD56_RS14865,,+,ACBD56_RS14870,,+,True
20,645,ACBD56_RS14005,,-,ACBD56_RS14010,,+,False
21,645,ACBD56_RS14085,,-,ACBD56_RS14090,,+,False
22,642,ACBD56_RS17525,vpsT,-,ACBD56_RS17530,ppiC,-,True
23,622,ACBD56_RS14380,,+,ACBD56_RS14385,,+,True
24,611,ACBD56_RS14910,,+,ACBD56_RS14915,,+,True
25,611,ACBD56_RS16110,,+,ACBD56_RS16115,,+,True
26,603,ACBD56_RS16585,,-,ACBD56_RS16590,,-,True
27,592,ACBD56_RS14180,,-,ACBD56_RS14185,,+,False
28,592,ACBD56_RS16090,,-,ACBD56_RS16095,tal,+,False
29,591,ACBD56_RS16730,artP,-,ACBD56_RS16740,viaA,-,True
30,576,ACBD56_RS18415,malT,-,ACBD56_RS18420,,+,False
31,561,ACBD56_RS14700,,+,ACBD56_RS14705,,+,True
32,558,ACBD56_RS15680,,+,ACBD56_RS15685,,+,True
33,553,ACBD56_RS18550,,-,ACBD56_RS18555,gltS,+,False
34,543,ACBD56_RS13945,,-,ACBD56_RS13950,,+,False
35,542,ACBD56_RS13455,,-,ACBD56_RS13460,,+,False
36,538,ACBD56_RS17600,ppnP,-,ACBD56_RS17605,,+,False
37,526,ACBD56_RS18145,speFL,-,ACBD56_RS18150,,-,True
38,522,ACBD56_RS17380,,-,ACBD56_RS17385,,+,False
39,519,ACBD56_RS16775,,-,ACBD56_RS16780,,+,False
40,517,ACBD56_RS17215,,+,ACBD56_RS17220,,+,True
41,500,ACBD56_RS14355,,+,ACBD56_RS14360,,+,True
