ranking,distancia_pb,gen1_locus,gen1_nombre,gen1_hebra,gen2_locus,gen2_nombre,gen2_hebra,misma_hebra
1,6174,b1508,hipB,-,b1511,lsrK,-,True
2,6041,b3271,yhdZ,+,b3279,yrdA,+,True
3,5800,b3755,yieP,-,b4480,hdfR,-,True
4,5771,b3967,murI,+,b3972,murB,+,True
5,5758,b0200,gmhB,+,b0207,dkgB,+,True
6,5752,b3850,hemG,+,b3856,mobB,-,False
7,5701,b4006,purH,-,b4011,yjaA,+,False
8,5612,b4783,yfiS,+,b2592,clpB,-,False
9,4538,b2226,yfaQ,-,b2229,yfaT,-,True
10,3973,b2650,ypjC,-,b2659,glaH,+,False
11,3711,b1404,insI2,+,b1406,pdxI,+,True
12,3103,b4520,ymgF,+,b1171,ymgD,-,False
13,2980,b2115,yehF,+,b2118,yehI,+,True
14,2980,b4342,yjiT,+,b4345,mcrC,-,False
15,2769,b1455,yncH,+,b1457,ydcD,+,True
16,2763,b0228,rayT,+,b0231,dinB,+,True
17,2746,b2336,yfcS,-,b2339,yfcV,-,True
18,2742,b1576,ydfD,+,b4534,ynfP,-,False
19,2594,b1719,thrS,-,b4535,yniD,+,False
20,2543,b4566,topAI,-,b4802,ythB,+,False
21,2515,b2853,ygeI,+,b2860,insD4,-,False
22,2465,b3045,insD5,+,b3047,yqiH,+,True
23,2413,b1963,drpB,-,b1967,hchA,+,False
24,2250,b3488,yhiJ,-,b3491,yhiM,+,False
25,2072,b4284,insI3,-,b4287,fecE,-,True
26,2062,b4269,ahr,-,b4272,insC6,+,False
27,2048,b4671,ykgR,-,b0298,insE1,+,False
28,2031,b4037,malM,+,b4039,ubiC,+,True
29,1759,b4273,insD6,+,b4277,yjgZ,+,True
30,1711,b2137,yohF,-,b4679,yohP,+,False
31,1695,b0498,ybbC,+,b0502,ylbG,-,False
32,1695,b0742,cpoB,+,b0750,nadA,+,True
33,1680,b0552,insH2,-,b0554,essD,+,False
34,1643,b4669,ilvX,+,b3769,ilvM,+,True
35,1628,b1978,yeeJ,+,b1981,shiA,+,True
36,1620,b1932,yedL,+,b1937,fliE,-,False
37,1604,b0373,insE2,-,b0375,iprA,+,False
38,1547,b0702,ybfB,+,b0704,ybfC,+,True
39,1522,b3267,yhdV,+,b3269,yhdX,+,True
40,1492,b2679,proX,+,b2682,ygaZ,+,True
41,1457,b2690,yqaB,-,b2696,csrA,-,True
42,1455,b4311,nanC,-,b4312,fimB,+,False
43,1434,b4823,ytiE,-,b4340,yjiR,-,True
44,1429,b1015,putP,+,b1018,efeO,+,True
45,1408,b2091,gatD,-,b2093,gatB,-,True
46,1392,b4514,ybfQ,+,b0706,ybfD,+,True
47,1372,b2776,ygcE,+,b2777,queE,-,False
48,1358,b1997,insC3,-,b2000,flu,+,False
49,1349,b1994,insH6,-,b4582,yoeA,+,False
50,1311,b4745,yncO,-,b1460,ydcC,+,False
51,1301,b1238,tdk,+,b1241,adhE,-,False
52,1285,b3133,agaV,+,b3136,agaS,+,True
53,1272,b0299,insF1,+,b0301,rclC,-,False
54,1236,b0662,ubiF,+,b0674,asnB,-,False
55,1230,b1415,aldA,+,b1418,cybB,+,True
56,1163,b2638,yfjU,-,b2642,yfjW,+,False
57,1139,b1317,ycjU,+,b1319,ompG,+,True
58,1097,b0234,yafP,+,b0237,pepD,-,False
59,1092,b0256,insI1,+,b0258,ykfC,+,True
60,1078,b3544,dppA,-,b3546,eptB,-,True
61,1056,b1029,ycdU,+,b1033,ghrA,+,True
62,1039,b0689,ybfP,+,b0692,potE,-,False
63,1023,b3657,yicJ,-,b3659,setC,+,False
64,1022,b3121,yhaC,+,b3124,garK,-,False
65,1008,b0624,crcB,-,b0627,tatE,+,False
66,997,b3594,yibA,+,b3596,yibG,+,True
67,977,b3253,yhdH,+,b3255,accB,+,True
68,960,b4706,iroK,-,b2538,hcaE,+,False
69,950,b2753,iap,+,b2754,cas2,-,False
70,920,b2400,gltX,-,b2405,xapR,-,True
71,919,b2289,lrhA,-,b2290,alaA,+,False
72,917,b3974,coaA,-,b3980,tufB,+,False
73,911,b2647,ypjA,-,b2649,ypjB,-,True
74,907,b2849,yqeK,-,b2851,ygeG,+,False
75,897,b2642,yfjW,+,b2643,lfgA,+,True
76,863,b3775,ppiC,-,b3778,rep,+,False
77,859,b2998,yghW,-,b4755,yqhI,-,True
78,852,b1505,ydeT,-,b1507,hipA,-,True
79,852,b3888,fabY,+,b3889,yiiE,+,True
80,846,b0732,mngB,+,b0733,cydA,+,True
81,829,b4594,ymgJ,+,b1174,minE,-,False
82,810,b3680,yidL,+,b3682,glvB,-,False
83,798,b3505,insH11,-,b3506,slp,+,False
84,798,b3511,hdeD,+,b3512,gadE,+,True
85,798,b4133,cadC,-,b4135,dicD,-,True
86,796,b1901,araF,-,b1902,ftnB,+,False
87,785,b4305,sgcX,-,b4306,yjhP,-,True
88,780,b2620,smpB,+,b2622,intA,+,True
89,778,b4744,ynaM,-,b1376,uspF,-,True
90,777,b0561,tfaD,+,b0563,tfaX,+,True
91,775,b0294,matA,-,b0295,ykgL,+,False
92,768,b1202,ycgV,-,b1203,ychF,-,True
93,760,b3533,bcsA,-,b3535,yhjR,-,True
94,755,b3422,rtcR,+,b3424,glpG,-,False
95,754,b1040,csgD,-,b1041,csgB,+,False
96,752,b1974,yodB,+,b1976,mtfA,+,True
97,742,b4162,orn,+,b4670,yjeV,+,True
98,739,b4613,dinQ,-,b3501,arsR,+,False
99,738,b2215,ompC,-,b2216,rcsD,+,False
100,728,b4786,yqhJ,+,b2970,yghF,-,False
101,720,b0970,yccA,-,b0972,hyaA,+,False
102,714,b2209,eco,+,b2210,mqo,-,False
103,708,b1151,beeE,+,b1153,ymfQ,+,True
104,706,b3596,yibG,+,b4615,yibV,+,True
105,705,b0537,intD,-,b0542,renD,+,False
106,697,b1469,narU,-,b1471,yddK,-,True
107,689,b0470,dnaX,+,b0471,ybaB,+,True
108,685,b3795,thrP,+,b3800,aslB,+,True
109,684,b0882,clpA,+,b0884,infA,-,False
110,682,b4586,ykfM,-,b0219,yafV,-,True
111,680,b2339,yfcV,-,b2340,sixA,-,True
112,678,b3801,aslA,-,b3802,hemY,-,True
113,674,b3211,yhcC,-,b3212,gltB,+,False
114,669,b1824,yobF,-,b1825,yebO,-,True
115,668,b2669,stpA,-,b2670,alaE,+,False
116,661,b2521,sseA,+,b4812,timP,+,True
117,659,b0075,leuL,-,b0076,leuO,+,False
118,658,b2062,wza,-,b2063,yegH,+,False
119,657,b4107,yjdN,-,b4108,yjdM,-,True
120,656,b4204,yjfZ,-,b4206,ytfB,-,True
121,649,b1908,yecA,-,b1912,pgsA,-,True
122,644,b4346,mcrB,-,b4347,symE,-,True
123,641,b4077,gltP,+,b4078,yjcO,-,False
124,634,b4711,insH21,+,b1243,oppA,+,True
125,634,b2395,pdeA,-,b2398,yfeC,+,False
126,630,b0251,yafY,-,b0252,yafZ,-,True
127,630,b2288,nuoA,-,b2289,lrhA,-,True
128,630,b3170,rimP,-,b3172,argG,+,False
129,628,b1983,yeeN,+,b1985,yeeO,-,False
130,628,b3503,arsC,+,b3504,yhiS,+,True
131,628,b4567,yjjZ,+,b4371,rsmC,-,False
132,626,b4278,insG,-,b4279,nanX,+,False
133,623,b4655,ythA,+,b4623,insO,+,True
134,621,b2792,yqcC,-,b2793,syd,-,True
135,620,b0563,tfaX,+,b0564,appY,+,True
136,618,b4364,yjjP,-,b4365,yjjQ,+,False
137,616,b3739,atpI,-,b3740,rsmG,-,True
138,615,b0364,yaiS,-,b0365,tauA,+,False
139,611,b3417,malP,-,b3418,malT,+,False
140,610,b1633,nth,+,b1634,dtpA,+,True
141,605,b1229,tpr,-,b1232,purU,-,True
142,604,b1237,hns,-,b1238,tdk,+,False
143,604,b1543,ydfJ,-,b4748,ynfT,+,False
144,602,b0929,ompF,-,b0930,asnS,-,True
145,601,b0080,cra,+,b0081,mraZ,+,True
146,597,b3956,ppc,-,b3957,argE,-,True
147,595,b3483,yhhH,+,b3484,yhhI,+,True
148,594,b2354,yfdK,-,b2356,yfdM,-,True
149,588,b0621,dcuC,-,b0622,pagP,+,False
150,588,b4235,tldE,+,b4237,nrdG,-,False
151,586,b1024,pgaA,-,b1025,dgcT,+,False
152,585,b4412,hokC,-,b0019,nhaA,+,False
153,584,b2836,aas,-,b2837,galR,+,False
154,581,b3865,yihA,-,b3866,yihI,+,False
155,578,b0778,bioD,+,b0779,uvrB,+,True
156,578,b2813,mltA,-,b2817,amiC,-,True
157,577,b0352,mhpE,+,b0353,mhpT,+,True
158,576,b0680,glnS,+,b0681,chiP,+,True
159,573,b2592,clpB,-,b2593,yfiH,-,True
160,572,b1664,ydhQ,-,b1667,ydhR,+,False
