locus_tag,nombre_gen,inicio,fin,longitud_pb,num_aminoacidos,hebra,contenido_gc,producto,proteina_id
HRS04_RS00075,acnB,0,4832047,4832047,1610682,-,56.0,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,WP_094658819.1
HRS04_RS00080,citG,337,1225,888,296,-,55.52,triphosphoribosyl-dephospho-CoA synthase CitG,WP_060578046.1
HRS04_RS00085,citX,1199,1751,552,184,-,58.7,citrate lyase holo-[acyl-carrier protein] synthase,WP_057078780.1
HRS04_RS00090,citF,1754,3287,1533,511,-,56.1,citrate lyase subunit alpha,WP_094658817.1
HRS04_RS00095,citE,3297,4206,909,303,-,57.1,citrate (pro-3S)-lyase subunit beta,WP_000622357.1
HRS04_RS00100,citD,4202,4499,297,99,-,56.23,citrate lyase acyl carrier protein,WP_000700703.1
HRS04_RS00105,citC,4513,5569,1056,352,-,50.66,[citrate (pro-3S)-lyase] ligase,WP_151298704.1
HRS04_RS00110,,5574,6978,1404,468,-,45.16,MFS transporter,WP_224084932.1
HRS04_RS00115,,6955,7753,798,266,-,45.24,amidohydrolase family protein,WP_057078615.1
HRS04_RS00120,,7875,8601,726,242,+,45.32,GntR family transcriptional regulator,WP_057078613.1
HRS04_RS00125,,8948,9182,234,78,-,51.28,transposase domain-containing protein,
HRS04_RS00130,,9782,10814,1032,344,+,55.52,LacI family DNA-binding transcriptional regulator,WP_057078609.1
HRS04_RS00135,,11099,12053,954,318,+,56.92,ABC transporter substrate-binding protein,WP_057078608.1
HRS04_RS00140,,12117,13650,1533,511,+,58.77,sugar ABC transporter ATP-binding protein,WP_057078606.1
HRS04_RS00145,,13636,14656,1020,340,+,58.24,ABC transporter permease subunit,WP_057078604.1
HRS04_RS00150,,14733,16104,1371,457,+,58.94,hypothetical protein,WP_057078602.1
HRS04_RS00155,,16100,17021,921,307,+,59.72,carbohydrate kinase family protein,WP_057078600.1
HRS04_RS00160,tnpA,17459,18137,678,226,+,53.1,IS66-like element accessory protein TnpA,WP_001339397.1
HRS04_RS00165,,18136,18223,87,29,+,51.72,IS66 family insertion sequence element accessory protein TnpB,
HRS04_RS00170,tnpA,18300,18726,426,142,+,49.06,IS66-like element accessory protein TnpA,WP_000422741.1
HRS04_RS00175,tnpB,18722,19073,351,117,+,52.42,IS66 family insertion sequence element accessory protein TnpB,WP_000624722.1
HRS04_RS00180,,19103,20717,1614,538,+,54.4,IS66-like element ISEc23 family transposase,WP_000080200.1
HRS04_RS00185,tnpB,20748,21024,276,92,+,56.88,IS66 family insertion sequence element accessory protein TnpB,
HRS04_RS00190,,21043,22615,1572,524,+,56.62,IS66-like element ISCro1 family transposase,WP_029392005.1
HRS04_RS00195,,22754,23165,411,137,-,53.28,transposase,
HRS04_RS00200,,23179,23787,608,202,-,41.61,ISAs1-like element ISEc1 family transposase,
HRS04_RS00205,,24035,24296,261,87,-,46.74,hypothetical protein,WP_086732302.1
HRS04_RS00210,,24292,24418,126,42,+,33.33,hypothetical protein,
HRS04_RS00215,,24445,24639,194,64,-,45.36,hypothetical protein,
HRS04_RS00220,,26674,27258,584,194,-,46.06,IS3 family transposase,
HRS04_RS00225,,27450,28379,929,309,+,45.53,IS110 family transposase,
HRS04_RS00230,,28706,29647,941,313,+,44.74,pseudouridine kinase,
HRS04_RS00235,,29634,30570,936,312,+,46.58,pseudouridine-5'-phosphate glycosidase,WP_057078712.1
HRS04_RS00240,,30653,31904,1251,417,+,48.84,NupC/NupG family nucleoside CNT transporter,WP_057078710.1
HRS04_RS00245,,31923,33018,1095,365,-,49.86,sugar kinase,WP_057078708.1
HRS04_RS00250,,33078,33216,138,46,-,43.48,transposase,
HRS04_RS00255,,33520,33769,249,83,+,43.78,hypothetical protein,WP_060578011.1
HRS04_RS00260,,34956,35589,633,211,-,43.13,TetR/AcrR family transcriptional regulator,WP_060578012.1
HRS04_RS00265,,35690,36815,1125,375,+,48.53,efflux RND transporter periplasmic adaptor subunit,WP_060578013.1
HRS04_RS00270,,36827,39962,3135,1045,+,47.69,efflux RND transporter permease subunit,WP_060578014.1
HRS04_RS00275,,40064,40730,666,222,+,40.69,TetR/AcrR family transcriptional regulator,WP_224084842.1
HRS04_RS00280,,40707,41067,360,120,+,38.33,helix-turn-helix domain-containing protein,WP_057078651.1
HRS04_RS00285,,41196,42615,1419,473,+,49.82,SLC13 family permease,WP_057078653.1
HRS04_RS00290,,42616,43993,1377,459,+,48.73,sensor histidine kinase,WP_057078656.1
HRS04_RS00295,,43995,44478,483,161,+,46.79,response regulator,WP_057078659.1
HRS04_RS00300,,44889,45138,249,83,+,52.21,IS3 family transposase,
HRS04_RS00305,,45284,45636,352,117,+,53.98,type 2 periplasmic-binding domain-containing protein,
HRS04_RS00310,,45846,47727,1881,627,+,54.7,beta-glucoside-specific PTS transporter subunit IIABC,WP_057078667.1
HRS04_RS00315,,47723,49148,1425,475,+,58.67,glycoside hydrolase family 1 protein,WP_057078669.1
HRS04_RS00320,licT,49144,49984,840,280,+,53.45,BglG family transcription antiterminator LicT,WP_057078672.1
HRS04_RS00325,,49985,50216,231,77,-,54.55,transcriptional regulator,
HRS04_RS00330,yjhF,50599,51949,1350,450,-,51.41,GntP family permease,WP_057078678.1
HRS04_RS00335,yjhG,52055,54023,1968,656,-,58.18,xylonate dehydratase YjhG,WP_057078681.1
HRS04_RS00340,yjhH,54033,54939,906,302,-,55.19,dihydrodipicolinate synthase family protein,WP_072146797.1
HRS04_RS00345,yjhI,54943,55732,789,263,-,44.61,IclR family transcriptional regulator,WP_057078686.1
HRS04_RS00350,sgcR,56031,56814,783,261,-,50.06,DeoR/GlpR family DNA-binding transcription regulator,WP_057078685.1
HRS04_RS00355,sgcE,56830,57463,633,211,-,55.29,ribulose-phosphate 3 epimerase family protein,WP_060578015.1
HRS04_RS00360,sgcA,57474,57906,432,144,-,55.79,SgcA family PTS sugar transporter subunit IIA,WP_060578016.1
HRS04_RS00365,sgcQ,58036,58843,807,269,-,53.41,BtpA family protein SgcQ,WP_000118626.1
HRS04_RS00370,sgcC,58855,60169,1314,438,-,53.2,PTS sugar transporter subunit IIC SgcC,WP_057078734.1
HRS04_RS00375,sgcB,60179,60458,279,93,-,48.75,PTS sugar transporter subunit IIB SgcB,WP_064764830.1
HRS04_RS00380,sgcX,60454,61576,1122,374,-,52.32,M42 family metallopeptidase,WP_060578018.1
HRS04_RS00385,,62064,62326,262,87,+,42.75,IS4 family transposase,
HRS04_RS00390,,62373,63198,825,275,-,53.82,MurR/RpiR family transcriptional regulator,WP_057078728.1
HRS04_RS00395,,63363,64920,1557,519,+,54.01,maltose/glucose-specific PTS transporter subunit IIC,WP_057078736.1
