locus_tag,nombre_gen,inicio,fin,longitud_pb,num_aminoacidos,hebra,contenido_gc,producto,proteina_id
b0001,thrL,189,255,66,22,+,51.52,thr operon leader peptide,NP_414542.1
b0002,thrA,336,2799,2463,821,+,53.07,fused aspartate kinase/homoserine dehydrogenase 1,NP_414543.1
b0003,thrB,2800,3733,933,311,+,56.27,homoserine kinase,NP_414544.1
b0004,thrC,3733,5020,1287,429,+,52.84,threonine synthase,NP_414545.1
b0005,yaaX,5233,5530,297,99,+,53.87,DUF2502 domain-containing protein YaaX,NP_414546.1
b0006,yaaA,5682,6459,777,259,-,49.68,DNA binding and peroxide stress response protein YaaA,NP_414547.1
b0007,yaaJ,6528,7959,1431,477,-,53.32,putative transporter YaaJ,NP_414548.1
b0008,talB,8237,9191,954,318,+,51.99,transaldolase B,NP_414549.1
b0009,mog,9305,9893,588,196,+,54.42,molybdopterin adenylyltransferase,NP_414550.1
b0010,satP,9927,10494,567,189,-,53.09,acetate/succinate:H(+) symporter,NP_414551.1
b0011,yaaW,10642,11356,714,238,-,50.84,putative enzyme-specific chaperone YaaW,NP_414552.1
b0012,mbiA,10829,11315,486,162,+,48.15,uncharacterized protein MbiA,YP_009518733.1
b0013,yaaI,11381,11786,405,135,-,48.89,DUF2541 domain-containing protein YaaI,NP_414554.1
b0014,dnaK,12162,14079,1917,639,+,51.12,chaperone protein DnaK,NP_414555.1
b0015,dnaJ,14167,15298,1131,377,+,55.17,chaperone protein DnaJ,NP_414556.1
b0016,insL1,15444,16557,1113,371,+,51.93,IS186/IS421 family transposase,NP_414557.1
b0018,mokC,16750,16960,210,70,-,51.43,regulatory protein MokC,NP_414559.1
b4412,hokC,16750,16903,153,51,-,52.94,small toxic polypeptide HokC,YP_025292.1
b0019,nhaA,17488,18655,1167,389,+,51.41,Na(+):H(+) antiporter NhaA,NP_414560.1
b0020,nhaR,18714,19620,906,302,+,47.46,DNA-binding transcriptional activator NhaR,NP_414561.1
b0021,insB1,19810,20314,504,168,-,54.56,IS1 family protein InsB,NP_414562.1
b0022,insA1,20232,20508,276,92,-,52.9,IS1 family protein InsA,NP_414563.1
b0023,rpsT,20814,21078,264,88,-,46.59,30S ribosomal subunit protein S20,NP_414564.1
b0024,yaaY,21180,21399,219,73,+,48.86,DUF2575 domain-containing protein YaaY,NP_414565.1
b0025,ribF,21406,22348,942,314,+,53.61,bifunctional riboflavin kinase/FMN adenylyltransferase,NP_414566.1
b0026,ileS,22390,25207,2817,939,+,55.77,isoleucine--tRNA ligase,NP_414567.1
b0027,lspA,25206,25701,495,165,+,53.54,lipoprotein signal peptidase,NP_414568.1
b0028,fkpB,25825,26275,450,150,+,54.44,peptidyl-prolyl cis-trans isomerase FkpB,NP_414569.1
b0029,ispH,26276,27227,951,317,+,55.1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,NP_414570.1
b0030,rihC,27292,28207,915,305,+,56.28,ribonucleoside hydrolase RihC,NP_414571.1
b0031,dapB,28373,29195,822,274,+,53.41,4-hydroxy-tetrahydrodipicolinate reductase,NP_414572.1
b0032,carA,29650,30799,1149,383,+,53.35,carbamoyl-phosphate synthetase small subunit,NP_414573.1
b0033,carB,30816,34038,3222,1074,+,56.27,carbamoyl-phosphate synthetase large subunit,NP_414574.1
b0034,caiF,34299,34695,396,132,+,45.96,DNA-binding transcriptional activator CaiF,NP_414576.4
b0035,caiE,34780,35371,591,197,-,54.99,putative transferase CaiE,NP_414577.2
b0036,caiD,35376,36162,786,262,-,54.07,crotonobetainyl-CoA hydratase,NP_414578.2
b0037,caiC,36270,37824,1554,518,-,51.03,carnitine--CoA ligase,NP_414579.4
b0038,caiB,37897,39115,1218,406,-,52.63,gamma-butyrobetainyl-CoA:carnitine CoA transferase,NP_414580.1
b0039,caiA,39243,40386,1143,381,-,53.89,crotonobetainyl-CoA reductase,NP_414581.1
b0040,caiT,40416,41931,1515,505,-,51.82,L-carnitine:gamma-butyrobetaine antiporter,NP_414582.1
b0041,fixA,42402,43173,771,257,+,52.53,putative electron transfer flavoprotein FixA,NP_414583.2
b0042,fixB,43187,44129,942,314,+,56.69,putative electron transfer flavoprotein FixB,NP_414584.1
b0043,fixC,44179,45466,1287,429,+,54.93,putative oxidoreductase FixC,NP_414585.1
b0044,fixX,45462,45750,288,96,+,56.94,putative ferredoxin FixX,NP_414586.1
b0045,yaaU,45806,47138,1332,444,+,53.3,putative transporter YaaU,NP_414587.1
b0046,kefF,47245,47776,531,177,+,54.61,regulator of KefC-mediated potassium transport and quinone oxidoreductase,NP_414588.1
b0047,kefC,47768,49631,1863,621,+,55.5,K(+) : H(+) antiporter KefC,NP_414589.1
b0048,folA,49822,50302,480,160,+,52.71,dihydrofolate reductase,NP_414590.1
b0049,apaH,50379,51222,843,281,-,55.75,diadenosine tetraphosphatase,NP_414591.1
b0050,apaG,51228,51606,378,126,-,51.85,DUF525 domain-containing protein ApaG,NP_414592.1
b0051,rsmA,51608,52430,822,274,-,53.04,16S rRNA (A(1518)/A(1519))-N(6)-dimethyltransferase,NP_414593.1
b0052,pdxA,52426,53416,990,330,-,56.36,4-hydroxythreonine-4-phosphate dehydrogenase,NP_414594.1
b0053,surA,53415,54702,1287,429,-,53.85,chaperone SurA,NP_414595.1
b0054,lptD,54754,57109,2355,785,-,51.38,lipopolysaccharide assembly protein LptD,NP_414596.1
b0055,djlA,57363,58179,816,272,+,52.7,co-chaperone protein DjlA,NP_414597.1
b0056,yabP,58473,59124,651,217,+,45.16,putative uncharacterized protein YabP,YP_009518734.1
b0057,yabQ,59120,59279,159,53,+,33.96,protein YabQ,YP_009518735.1
b0058,rluA,59686,60346,660,220,-,53.94,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,NP_414600.1
b0059,rapA,60357,63264,2907,969,-,54.9,RNA polymerase-binding ATPase and RNAP recycling factor,NP_414601.1
b0060,polB,63428,65780,2352,784,-,55.36,DNA polymerase II,NP_414602.1
b0061,araD,65854,66550,696,232,-,55.32,L-ribulose-5-phosphate 4-epimerase AraD,NP_414603.1
b0062,araA,66834,68337,1503,501,-,55.49,L-arabinose isomerase,NP_414604.1
b0063,araB,68347,70048,1701,567,-,58.02,ribulokinase,NP_414605.1
b0064,araC,70386,71265,879,293,+,52.56,DNA-binding transcriptional dual regulator AraC,NP_414606.1
b0065,yabI,71350,72115,765,255,+,53.86,DedA family protein YabI,NP_414607.1
b0066,thiQ,72228,72927,699,233,-,57.08,thiamine ABC transporter ATP binding subunit,NP_414608.1
b0067,thiP,72910,74521,1611,537,-,58.41,thiamine ABC transporter membrane subunit,NP_414609.1
b0068,thiB,74496,75480,984,328,-,53.25,thiamine ABC transporter periplasmic binding protein,NP_414610.1
b0069,sgrR,75643,77299,1656,552,-,54.89,DNA-binding transcriptional dual regulator SgrR,NP_414611.1
b4662,sgrT,77387,77519,132,44,+,46.97,PtsG glucose transporter inhibitor,YP_002791237.1
b0070,setA,77620,78799,1179,393,+,48.52,sugar exporter SetA,YP_025293.1
