gen1_locus,gen1_nombre,gen1_fin,gen1_hebra,gen2_locus,gen2_nombre,gen2_inicio,gen2_hebra,distancia_pb,tipo,misma_hebra
STM0001,thrL,255,+,STM0002,thrA,336,+,81,Cercano (50-100 pb),True
STM0002,thrA,2799,+,STM0003,thrB,2800,+,1,Muy cercano (< 50 pb),True
STM0003,thrB,3730,+,STM0004,thrC,3733,+,3,Muy cercano (< 50 pb),True
STM0004,thrC,5020,+,STM0005,yaaA,5113,-,93,Cercano (50-100 pb),False
STM0005,yaaA,5887,-,STM0006,yaaJ,5965,-,78,Cercano (50-100 pb),True
STM0006,yaaJ,7396,-,STM0007,talB,7664,+,268,Normal (200-500 pb),False
STM0007,talB,8618,+,STM0008,mog,8728,+,110,Moderado (100-200 pb),True
STM0008,mog,9319,+,STM0009,yaaH,9375,-,56,Cercano (50-100 pb),False
STM0009,yaaH,9942,-,STM0010,htgA,10091,-,149,Moderado (100-200 pb),True
STM0010,htgA,10805,-,STM0011,yaaI,10840,-,35,Muy cercano (< 50 pb),True
STM0011,yaaI,11245,-,STM0012,dnaK,11592,+,347,Normal (200-500 pb),False
STM0012,dnaK,13509,+,STM0013,dnaJ,13594,+,85,Cercano (50-100 pb),True
STM0013,dnaJ,14734,+,STM0014,,15013,+,279,Normal (200-500 pb),True
STM0014,,15961,+,STM0015,,16087,+,126,Moderado (100-200 pb),True
STM0015,,16432,+,STM0016,,16492,-,60,Cercano (50-100 pb),False
STM0016,,17026,-,STM0017,,17042,-,16,Muy cercano (< 50 pb),True
STM0017,,17486,-,STM0018,,17866,+,380,Normal (200-500 pb),False
STM0018,,19966,+,STM0019,,20057,+,91,Cercano (50-100 pb),True
STM0019,,23054,+,STM0020,,23334,+,280,Normal (200-500 pb),True
STM0020,,24039,+,STM0021,bcfA,24468,+,429,Normal (200-500 pb),True
STM0021,bcfA,25011,+,STM0022,bcfB,25111,+,100,Moderado (100-200 pb),True
STM0022,bcfB,25798,+,STM0023,bcfC,25802,+,4,Muy cercano (< 50 pb),True
STM0023,bcfC,28424,+,STM0024,bcfD,28424,+,0,Adyacente,True
STM0024,bcfD,29432,+,STM0025,bcfE,29432,+,0,Adyacente,True
STM0025,bcfE,29978,+,STM0026,bcfF,29993,+,15,Muy cercano (< 50 pb),True
STM0026,bcfF,30512,+,STM0027,bcfG,30477,+,-35,Solapado,True
STM0027,bcfG,31209,+,STM0028,bcfH,31273,+,64,Cercano (50-100 pb),True
STM0028,bcfH,32119,+,STM0029,,32544,-,425,Normal (200-500 pb),False
STM0029,,32994,-,STM0030,,33363,+,369,Normal (200-500 pb),False
STM0030,,34368,+,STM0031,,34375,-,7,Muy cercano (< 50 pb),False
STM0031,,34816,-,STM0032,,35338,+,522,Grande (> 500 pb),False
STM0032,,37057,+,STM0033,,37102,-,45,Muy cercano (< 50 pb),False
STM0033,,38674,-,STM0034,,38772,-,98,Cercano (50-100 pb),True
STM0034,,39534,-,STM0035,,40130,+,596,Grande (> 500 pb),False
STM0035,,41624,+,STM0036,,41722,+,98,Cercano (50-100 pb),True
STM0036,,42913,+,STM0037,,42931,+,18,Muy cercano (< 50 pb),True
STM0037,,44185,+,STM0038,,44311,+,126,Moderado (100-200 pb),True
STM0038,,46027,+,STM0039,nhaA,46189,+,162,Moderado (100-200 pb),True
STM0039,nhaA,47356,+,STM0040,nhaR,47417,+,61,Cercano (50-100 pb),True
STM0040,nhaR,48317,+,STM0041,,48371,-,54,Cercano (50-100 pb),False
STM0041,,50411,-,STM0042,,50450,-,39,Muy cercano (< 50 pb),True
STM0042,,51824,-,STM0043,rpsT,52279,-,455,Normal (200-500 pb),True
STM0043,rpsT,52543,-,STM0044,yaaY,52648,+,105,Moderado (100-200 pb),False
STM0044,yaaY,52864,+,STM0045,ribF,52871,+,7,Muy cercano (< 50 pb),True
STM0045,ribF,53810,+,STM0046,ileS,53854,+,44,Muy cercano (< 50 pb),True
STM0046,ileS,56689,+,STM0047,lspA,56688,+,-1,Solapado,True
STM0047,lspA,57189,+,STM0048,slpA,57343,+,154,Moderado (100-200 pb),True
STM0048,slpA,57793,+,STM0049,lytB,57795,+,2,Muy cercano (< 50 pb),True
STM0049,lytB,58746,+,STM0050,,58945,+,199,Moderado (100-200 pb),True
STM0050,,60148,+,STM0051,rihC,60163,+,15,Muy cercano (< 50 pb),True
STM0051,rihC,61084,+,STM0052,,61105,-,21,Muy cercano (< 50 pb),False
STM0052,,61792,-,STM0053,,61793,-,1,Muy cercano (< 50 pb),True
STM0053,,63413,-,STM0054,,63547,-,134,Moderado (100-200 pb),True
STM0054,,64849,-,STM0055,,64861,-,12,Muy cercano (< 50 pb),True
STM0055,,66637,-,STM0056,,66653,-,16,Muy cercano (< 50 pb),True
STM0056,,66893,-,STM0057,,67051,-,158,Moderado (100-200 pb),True
STM0057,,68392,-,STM0058,citC2,68636,+,244,Normal (200-500 pb),False
STM0058,citC2,69680,+,STM0059,citD2,69709,+,29,Muy cercano (< 50 pb),True
STM0059,citD2,70003,+,STM0060,citE2,69999,+,-4,Solapado,True
STM0060,citE2,70869,+,STM0061,citF2,70879,+,10,Muy cercano (< 50 pb),True
STM0061,citF2,72400,+,STM0062,citX2,72399,+,-1,Solapado,True
STM0062,citX2,72951,+,STM0063,citG2,72928,+,-23,Solapado,True
STM0063,citG2,73837,+,STM0064,dapB,74016,+,179,Moderado (100-200 pb),True
STM0064,dapB,74838,+,STM0065,,75087,+,249,Normal (200-500 pb),True
STM0065,,75435,+,STM0066,carA,75879,+,444,Normal (200-500 pb),True
STM0066,carA,77028,+,STM0067,carB,77046,+,18,Muy cercano (< 50 pb),True
STM0067,carB,80274,+,STM0068,caiF,80547,+,273,Normal (200-500 pb),True
STM0068,caiF,80943,+,STM0069,caiE,81019,-,76,Cercano (50-100 pb),False
STM0069,caiE,81616,-,STM0070,caiD,81724,-,108,Moderado (100-200 pb),True
STM0070,caiD,82510,-,STM0071,caiC,82563,-,53,Cercano (50-100 pb),True
STM0071,caiC,84117,-,STM0072,caiB,84179,-,62,Cercano (50-100 pb),True
