locus_tag,nombre_gen,inicio,fin,longitud_pb,num_aminoacidos,hebra,contenido_gc,producto,proteina_id
STM0001,thrL,189,255,66,22,+,54.55,thr operon leader peptide,NP_459006.1
STM0002,thrA,336,2799,2463,821,+,55.95,aspartokinase I,NP_459007.1
STM0003,thrB,2800,3730,930,310,+,57.96,homoserine kinase,NP_459008.1
STM0004,thrC,3733,5020,1287,429,+,56.8,threonine synthase,NP_459009.1
STM0005,yaaA,5113,5887,774,258,-,50.65,putative cytoplasmic protein,NP_459010.1
STM0006,yaaJ,5965,7396,1431,477,-,55.84,putative alanine/glycine transport protein,NP_459011.1
STM0007,talB,7664,8618,954,318,+,53.98,transaldolase B,NP_459012.1
STM0008,mog,8728,9319,591,197,+,56.18,putative molybdochetalase,NP_459013.1
STM0009,yaaH,9375,9942,567,189,-,54.14,putative regulatory protein,NP_459014.1
STM0010,htgA,10091,10805,714,238,-,54.34,positive sigma H regulator,NP_459015.1
STM0011,yaaI,10840,11245,405,135,-,49.63,putative periplasmic protein,NP_459016.1
STM0012,dnaK,11592,13509,1917,639,+,52.58,chaperone Hsp70,NP_459017.1
STM0013,dnaJ,13594,14734,1140,380,+,54.04,heat shock protein DnaJ,NP_459018.1
STM0014,,15013,15961,948,316,+,40.61,putative LysR family transcriptional regulator,NP_459019.1
STM0015,,16087,16432,345,115,+,40.58,putative bacteriophage protein,NP_459020.1
STM0016,,16492,17026,534,178,-,51.12,hypothetical protein,NP_459021.1
STM0017,,17042,17486,444,148,-,38.29,hypothetical protein,NP_459022.1
STM0018,,17866,19966,2100,700,+,51.1,putative exochitinase,NP_459023.1
STM0019,,20057,23054,2997,999,+,54.85,putative hydroxymethyltransferase,NP_459024.1
STM0020,,23334,24039,705,235,+,46.95,putative cytoplasmic protein,NP_459025.1
STM0021,bcfA,24468,25011,543,181,+,51.75,fimbrial subunit,NP_459026.1
STM0022,bcfB,25111,25798,687,229,+,50.95,fimbrial chaparone,NP_459027.1
STM0023,bcfC,25802,28424,2622,874,+,54.46,fimbrial usher,NP_459028.1
STM0024,bcfD,28424,29432,1008,336,+,50.1,fimbrial subunit,NP_459029.1
STM0025,bcfE,29432,29978,546,182,+,49.45,fimbrial subunit,NP_459030.1
STM0026,bcfF,29993,30512,519,173,+,55.68,fimbrial subunit,NP_459031.1
STM0027,bcfG,30477,31209,732,244,+,53.96,fimbrial chaparone,NP_459032.1
STM0028,bcfH,31273,32119,846,282,+,54.96,putative thiol-disulfide isomerase,NP_459033.1
STM0029,,32544,32994,450,150,-,37.11,putative transcription regulator,NP_459034.1
STM0030,,33363,34368,1005,335,+,38.81,putative LysR family transcriptional regulator,NP_459035.1
STM0031,,34375,34816,441,147,-,35.83,putative transcription regulator,NP_459036.1
STM0032,,35338,37057,1719,573,+,46.31,putative arylsulfatase,NP_459037.1
STM0033,,37102,38674,1572,524,-,46.82,putative 5'-nucleotidase,NP_459038.1
STM0034,,38772,39534,762,254,-,44.23,putative outer membrane or exported protein,NP_459039.1
STM0035,,40130,41624,1494,498,+,52.41,putative arylsulfatase,NP_459040.1
STM0036,,41722,42913,1191,397,+,49.71,putative arylsulfatase regulatory protein,NP_459041.1
STM0037,,42931,44185,1254,418,+,49.92,putative cytoplasmic protein,NP_459042.1
STM0038,,44311,46027,1716,572,+,49.71,putative arylsulfatase,NP_459043.1
STM0039,nhaA,46189,47356,1167,389,+,56.38,"NhaA family of transport protein, Na+/H antiporter, pH dependent",NP_459044.1
STM0040,nhaR,47417,48317,900,300,+,50.56,transcriptional activator of nhaA,NP_459045.1
STM0041,,48371,50411,2040,680,-,54.61,putative glycosyl hydrolase,NP_459046.1
STM0042,,50450,51824,1374,458,-,49.05,putative sodium galactoside symporter,NP_459047.1
STM0043,rpsT,52279,52543,264,88,-,46.59,30S ribosomal subunit protein S20,NP_459048.1
STM0044,yaaY,52648,52864,216,72,+,47.69,putative cytoplasmic protein,NP_459049.1
STM0045,ribF,52871,53810,939,313,+,56.76,flavokinase and FAD synthetase,NP_459050.1
STM0046,ileS,53854,56689,2835,945,+,54.78,isoleucine tRNA synthetase,NP_459051.1
STM0047,lspA,56688,57189,501,167,+,52.89,prolipoprotein signal peptidase (SPase II),NP_459052.1
STM0048,slpA,57343,57793,450,150,+,54.67,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),NP_459053.1
STM0049,lytB,57795,58746,951,317,+,57.41,"regulates the activity of guanosine 3',5'-bispyrophosphate synthetase I (RelA)",NP_459054.1
STM0050,,58945,60148,1203,401,+,48.21,putative nitrite reductase,NP_459055.1
STM0051,rihC,60163,61084,921,307,+,56.57,putative purine nucleoside hydrolase,NP_459056.1
STM0052,,61105,61792,687,229,-,48.62,putative transcription regulator sensor for citrate,NP_459057.1
STM0053,,61793,63413,1620,540,-,48.02,putative transcription regulator,NP_459058.1
STM0054,,63547,64849,1302,434,-,63.98,"putative oxalacetate decarboxylase, subunit beta",NP_459059.1
STM0055,,64861,66637,1776,592,-,63.68,"putative oxalacetate decarboxylase, subunit alpha",NP_459060.1
STM0056,,66653,66893,240,80,-,57.5,"putative oxalacetate decarboxylase, subunit gamma",NP_459061.1
STM0057,,67051,68392,1341,447,-,49.37,putative citrate-sodium symport,NP_459062.1
STM0058,citC2,68636,69680,1044,348,+,53.74,putative citrate lyase synthetase,NP_459063.1
STM0059,citD2,69709,70003,294,98,+,57.14,"putative citrate lyase acyl carrier protein, gamma chain",NP_459064.1
STM0060,citE2,69999,70869,870,290,+,55.63,"putative citrate lyase beta chain, acyl lyase subunit",NP_459065.1
STM0061,citF2,70879,72400,1521,507,+,55.23,putative citrate lyase alpha chain,NP_459066.1
STM0062,citX2,72399,72951,552,184,+,55.98,putative cytoplasmic protein,NP_459067.1
STM0063,citG2,72928,73837,909,303,+,54.79,putative modifier of citrate lyase protein,NP_459068.1
STM0064,dapB,74016,74838,822,274,+,56.57,dihydrodipicolinate reductase,NP_459069.1
STM0065,,75087,75435,348,116,+,43.68,putative viral protein,NP_446529.1
STM0066,carA,75879,77028,1149,383,+,55.35,"carbamoyl-phosphate synthetase, glutamine-hydrolysing small subunit",NP_459071.1
STM0067,carB,77046,80274,3228,1076,+,59.11,"carbamoyl-phosphate synthase, large subunit",NP_459072.1
STM0068,caiF,80547,80943,396,132,+,46.46,transcriptional regulator of cai and fix operon,NP_459073.1
STM0069,caiE,81019,81616,597,199,-,55.95,stimulates carnitine racemase activity of CaiD and CaiB activity,NP_459074.1
STM0070,caiD,81724,82510,786,262,-,56.87,carnitine racemase,NP_459075.1
STM0071,caiC,82563,84117,1554,518,-,50.77,crotonobetaine/carnitine-CoA ligase,NP_459076.1
STM0072,caiB,84179,85397,1218,406,-,53.2,l-carnitine dehydratase,NP_459077.1
