ranking,distancia_pb,gen1_locus,gen1_nombre,gen1_hebra,gen2_locus,gen2_nombre,gen2_hebra,misma_hebra
1,5556,ACUCMD_RS07000,murA,+,ACUCMD_RS07020,ogt,-,False
2,1797,ACUCMD_RS14960,,-,ACUCMD_RS14965,cas2,-,True
3,1529,ACUCMD_RS14955,,+,ACUCMD_RS14960,,-,False
4,1358,ACUCMD_RS19160,espA,-,ACUCMD_RS19165,ephA,+,False
5,1261,ACUCMD_RS04740,,-,ACUCMD_RS04745,spmT,+,False
6,1241,ACUCMD_RS04420,,-,ACUCMD_RS04445,,+,False
7,1094,ACUCMD_RS09645,,+,ACUCMD_RS09650,,-,False
8,1068,ACUCMD_RS04450,,+,ACUCMD_RS04455,,+,True
9,1044,ACUCMD_RS14060,,+,ACUCMD_RS14085,,+,True
10,997,ACUCMD_RS19140,ftsH,-,ACUCMD_RS19145,,-,True
11,965,ACUCMD_RS05625,,-,ACUCMD_RS05630,,+,False
12,938,ACUCMD_RS16420,fadD13,+,ACUCMD_RS16425,,+,True
13,898,ACUCMD_RS10390,mce3R,-,ACUCMD_RS10395,,+,False
14,869,ACUCMD_RS05590,,+,ACUCMD_RS05595,,+,True
15,834,ACUCMD_RS03705,,+,ACUCMD_RS03710,,+,True
16,820,ACUCMD_RS18635,,+,ACUCMD_RS18640,,+,True
17,809,ACUCMD_RS20670,,-,ACUCMD_RS20675,,-,True
18,798,ACUCMD_RS12510,,+,ACUCMD_RS12515,,-,False
19,794,ACUCMD_RS04505,pip,-,ACUCMD_RS04510,,+,False
20,787,ACUCMD_RS05565,,-,ACUCMD_RS05570,,-,True
21,784,ACUCMD_RS20385,,+,ACUCMD_RS20390,,+,True
22,770,ACUCMD_RS16265,,+,ACUCMD_RS16270,,-,False
23,758,ACUCMD_RS15660,fadD29,-,ACUCMD_RS15665,,-,True
24,754,ACUCMD_RS19395,,+,ACUCMD_RS19400,,-,False
25,753,ACUCMD_RS09060,,-,ACUCMD_RS09065,,-,True
26,753,ACUCMD_RS17990,idsB,-,ACUCMD_RS17995,,-,True
27,751,ACUCMD_RS13355,orn,+,ACUCMD_RS13365,,-,False
28,746,ACUCMD_RS01370,,-,ACUCMD_RS01375,,-,True
29,726,ACUCMD_RS00035,,+,ACUCMD_RS00050,,-,False
30,722,ACUCMD_RS09575,,-,ACUCMD_RS09580,,+,False
31,707,ACUCMD_RS19420,dppA,-,ACUCMD_RS19425,acs,+,False
32,706,ACUCMD_RS16970,,-,ACUCMD_RS16980,,+,False
33,695,ACUCMD_RS20475,gltB,-,ACUCMD_RS20480,,+,False
34,688,ACUCMD_RS04490,,-,ACUCMD_RS04495,lpqR,+,False
35,688,ACUCMD_RS12430,,-,ACUCMD_RS12440,,+,False
36,677,ACUCMD_RS09345,,-,ACUCMD_RS09350,,+,False
37,675,ACUCMD_RS08580,lgt,+,ACUCMD_RS08585,,+,True
38,660,ACUCMD_RS13190,,-,ACUCMD_RS13195,,-,True
39,650,ACUCMD_RS08970,tyrS,+,ACUCMD_RS08975,lprJ,+,True
40,645,ACUCMD_RS05660,,-,ACUCMD_RS05665,,+,False
41,640,ACUCMD_RS04755,,-,ACUCMD_RS04760,,+,False
42,632,ACUCMD_RS11155,,+,ACUCMD_RS11160,,+,True
43,631,ACUCMD_RS15625,mmpL7,+,ACUCMD_RS15630,istA,+,True
44,629,ACUCMD_RS12415,moeW,-,ACUCMD_RS12420,mmpL9,+,False
