locus_tag,nombre_gen,inicio,fin,longitud_pb,num_aminoacidos,hebra,contenido_gc,producto,proteina_id
ACUCMD_RS00005,dnaA,177,1701,1524,508,+,58.92,chromosomal replication initiator protein DnaA,WP_003400253.1
ACUCMD_RS00010,dnaN,2228,3437,1209,403,+,59.97,DNA polymerase III subunit beta,WP_003400271.1
ACUCMD_RS00015,recF,3456,4614,1158,386,+,60.1,DNA replication/repair protein RecF,WP_003899768.1
ACUCMD_RS00020,,4610,5174,564,188,+,66.13,DNA replication protein DciA,WP_003899769.1
ACUCMD_RS00025,gyrB,5416,7444,2028,676,+,60.21,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_003917863.1
ACUCMD_RS00030,gyrA,7478,9995,2517,839,+,63.85,DNA topoisomerase (ATP-hydrolyzing) subunit A,WP_003400286.1
ACUCMD_RS00035,,10090,11005,915,305,+,68.2,DUF3566 domain-containing protein,WP_003400291.1
ACUCMD_RS00050,,11731,11869,138,46,-,62.32,hypothetical protein,WP_003400297.1
ACUCMD_RS00055,cwsA,12050,12488,438,146,-,71.0,cell wall synthesis protein CwsA,WP_003400307.1
ACUCMD_RS00060,ppiA,12644,13193,549,183,+,62.48,peptidylprolyl isomerase PpiA,WP_003400321.1
ACUCMD_RS00065,,13309,13735,426,142,-,62.44,PH domain-containing protein,WP_003899772.1
ACUCMD_RS00070,crgA,13890,14172,282,94,-,56.38,cell division protein CrgA,WP_003400344.1
ACUCMD_RS00075,,14310,15054,744,248,+,65.19,DUF881 domain-containing protein,WP_003917999.1
ACUCMD_RS00080,trpG,15090,15789,699,233,+,63.95,aminodeoxychorismate/anthranilate synthase component II,WP_003400352.1
ACUCMD_RS00085,pknB,15766,17647,1881,627,-,63.21,Stk1 family PASTA domain-containing Ser/Thr kinase,WP_003902584.1
ACUCMD_RS00090,pknA,17643,18939,1296,432,-,67.82,serine/threonine protein kinase PknA,WP_003906262.1
ACUCMD_RS00095,pbpA,18935,20411,1476,492,-,64.5,"D,D-transpeptidase PbpA",WP_003899775.1
ACUCMD_RS00100,rodA,20407,21817,1410,470,-,62.13,cell shape-determining peptidoglycan glycosyltransferase RodA,WP_003400364.1
ACUCMD_RS00105,pstP,21813,23349,1536,512,-,67.38,serine/threonine phosphatase PstP,WP_003912500.1
ACUCMD_RS00110,fhaB,23446,23914,468,156,-,63.03,FHA domain-containing protein FhaB/FipA,WP_003400373.1
ACUCMD_RS00115,fhaA,24037,25621,1584,528,-,66.35,cell division-associated protein FhaA,WP_003912368.1
ACUCMD_RS00125,,26089,27058,969,323,-,66.05,NAD(P)H-dependent flavin oxidoreductase,WP_003899778.1
ACUCMD_RS00130,whiB5,27199,27619,420,140,-,68.33,transcriptional regulator WhiB5,WP_003400388.1
ACUCMD_RS00135,,27771,28542,771,257,+,67.32,helix-turn-helix domain-containing protein,WP_003400391.1
ACUCMD_RS00140,,28525,29383,858,286,+,69.0,C40 family peptidase,WP_003901769.1
ACUCMD_RS00145,,29420,29783,363,121,+,65.29,DUF4226 domain-containing protein,WP_003400395.1
ACUCMD_RS00150,,29915,31327,1412,470,+,65.44,DUF4226 domain-containing protein,
