locus_tag,nombre_gen,inicio,fin,longitud_pb,num_aminoacidos,hebra,contenido_gc,producto,proteina_id
ACBD56_RS13410,,135,3237,3102,1034,+,48.94,S41 family peptidase,WP_462099751.1
ACBD56_RS13415,,3522,5103,1581,527,-,47.94,GGDEF domain-containing protein,WP_000449154.1
ACBD56_RS13420,,5083,6571,1488,496,-,48.86,tetratricopeptide repeat protein,WP_000361580.1
ACBD56_RS13425,,6725,8195,1470,490,-,49.52,transposase,WP_462099752.1
ACBD56_RS13430,deoD,8259,8970,711,237,-,47.82,purine-nucleoside phosphorylase,WP_000224891.1
ACBD56_RS13435,,9291,10245,954,318,+,47.69,YbgA family protein,WP_185837823.1
ACBD56_RS13440,,10234,11032,798,266,+,50.75,MerR family transcriptional regulator,WP_000226961.1
ACBD56_RS13445,phrB,11041,12451,1410,470,+,51.06,deoxyribodipyrimidine photo-lyase,WP_001241772.1
ACBD56_RS13450,,12459,13380,921,307,+,47.77,"L,D-transpeptidase family protein",WP_057551944.1
ACBD56_RS13455,,13465,13714,249,83,-,48.19,Lpp/OprI family alanine-zipper lipoprotein,WP_001038496.1
ACBD56_RS13460,,14256,15603,1347,449,+,48.18,DEAD/DEAH box helicase,WP_171356587.1
ACBD56_RS13465,,15816,17814,1998,666,+,51.0,prolyl oligopeptidase family serine peptidase,WP_462099753.1
ACBD56_RS13470,,17813,19955,2142,714,+,50.51,TonB-dependent hemoglobin/transferrin/lactoferrin family receptor,WP_114732839.1
ACBD56_RS13475,,19964,22271,2307,769,+,50.33,proprotein convertase P-domain-containing protein,WP_462099754.1
ACBD56_RS13480,,22267,23710,1443,481,+,50.8,Lcl C-terminal domain-containing protein,WP_069731156.1
ACBD56_RS13485,,23706,24267,561,187,+,52.58,Lcl C-terminal domain-containing protein,WP_267761395.1
ACBD56_RS13490,,24400,26044,1644,548,-,48.42,methyl-accepting chemotaxis protein,WP_462099755.1
ACBD56_RS13495,,26414,27236,822,274,+,45.86,phosphate ABC transporter substrate-binding protein,WP_032477602.1
ACBD56_RS13500,pstC,27313,28234,921,307,+,50.71,phosphate ABC transporter permease subunit PstC,WP_108335861.1
ACBD56_RS13505,pstA,28239,29103,864,288,+,47.8,phosphate ABC transporter permease PstA,WP_001960450.1
ACBD56_RS13510,pstB,29131,29887,756,252,+,47.22,phosphate ABC transporter ATP-binding protein PstB,WP_000858875.1
