ranking,distancia_pb,gen1_locus,gen1_nombre,gen1_hebra,gen2_locus,gen2_nombre,gen2_hebra,misma_hebra
1,5879,HRS04_RS18635,yhdZ,+,HRS04_RS18675,yrdA,+,True
2,5800,HRS04_RS21335,yieP,-,HRS04_RS21370,hdfR,-,True
3,5775,HRS04_RS15120,kgtP,-,HRS04_RS15145,clpB,-,True
4,5759,HRS04_RS02820,gmhB,+,HRS04_RS02855,dkgB,+,True
5,5742,HRS04_RS22610,purH,-,HRS04_RS22635,yjaB,-,True
6,5685,HRS04_RS22420,murI,+,HRS04_RS22445,murB,+,True
7,5580,HRS04_RS21800,hemG,+,HRS04_RS21830,mobB,-,False
8,2035,HRS04_RS00215,,-,HRS04_RS00220,,-,True
9,1799,HRS04_RS15890,,+,HRS04_RS15895,queE,-,False
10,1732,HRS04_RS15465,yqaB,-,HRS04_RS15500,csrA,-,True
11,1469,HRS04_RS05705,cpoB,+,HRS04_RS05750,nadA,+,True
12,1386,HRS04_RS14335,,+,HRS04_RS14340,,+,True
13,1385,HRS04_RS15300,ypjC,-,HRS04_RS15310,,+,False
14,1257,HRS04_RS23370,,-,HRS04_RS23375,,+,False
15,1237,HRS04_RS05320,ubiF,+,HRS04_RS05360,asnB,-,False
16,1187,HRS04_RS00255,,+,HRS04_RS00260,,-,False
17,1176,HRS04_RS17915,,-,HRS04_RS17925,garK,-,True
18,1154,HRS04_RS23350,,-,HRS04_RS23355,,-,True
19,1097,HRS04_RS01295,,-,HRS04_RS01300,,+,False
20,1097,HRS04_RS12155,,-,HRS04_RS12160,,+,False
21,1080,HRS04_RS20095,dppA,-,HRS04_RS20110,eptB,-,True
22,1028,HRS04_RS16085,mltA,-,HRS04_RS16100,tssB,+,False
23,977,HRS04_RS18550,acuI,+,HRS04_RS18555,accB,+,True
24,964,HRS04_RS03175,,+,HRS04_RS03180,,+,True
25,964,HRS04_RS04815,,-,HRS04_RS04820,,-,True
26,920,HRS04_RS14110,gltX,-,HRS04_RS14140,xapR,-,True
27,919,HRS04_RS13615,lrhA,-,HRS04_RS13620,alaA,+,False
28,917,HRS04_RS22455,coaA,-,HRS04_RS22480,tuf,+,False
29,910,HRS04_RS03495,,-,HRS04_RS03500,,+,False
30,895,HRS04_RS08415,,+,HRS04_RS08430,,+,True
31,847,HRS04_RS05650,mngB,+,HRS04_RS05655,cydA,+,True
32,841,HRS04_RS21150,,+,HRS04_RS21155,,+,True
33,840,HRS04_RS08000,ycgV,-,HRS04_RS08005,ychF,-,True
34,823,HRS04_RS03635,ecpR,-,HRS04_RS03640,ykgL,+,False
35,820,HRS04_RS09450,yncH,+,HRS04_RS09455,,+,True
36,815,HRS04_RS12230,,+,HRS04_RS12235,,+,True
37,798,HRS04_RS19910,hdeD,+,HRS04_RS19915,gadE,+,True
38,796,HRS04_RS11650,araF,-,HRS04_RS11655,ftnB,+,False
39,790,HRS04_RS21120,lpfA-O113,-,HRS04_RS21125,,+,False
40,778,HRS04_RS11620,flhD,-,HRS04_RS11625,uspC,+,False
41,773,HRS04_RS12140,,-,HRS04_RS12145,,+,False
42,753,HRS04_RS07270,csgD,-,HRS04_RS07275,csgB,+,False
43,752,HRS04_RS11990,yodB,+,HRS04_RS12000,mtfA,+,True
44,752,HRS04_RS12475,galF,-,HRS04_RS12480,,+,False
45,742,HRS04_RS00575,orn,+,HRS04_RS00595,,+,True
46,739,HRS04_RS19850,dinQ,-,HRS04_RS19855,arsR,+,False
47,738,HRS04_RS13215,ompC,-,HRS04_RS13220,rcsD,+,False
48,737,HRS04_RS03980,,-,HRS04_RS03985,tauA,+,False
49,737,HRS04_RS15275,smpB,+,HRS04_RS15285,ypjA,-,False
50,736,HRS04_RS04840,,-,HRS04_RS04845,cusS,-,True
51,725,HRS04_RS08140,narI,+,HRS04_RS08160,purU,-,False
52,720,HRS04_RS06870,yccA,-,HRS04_RS06880,hyaA,+,False
53,708,HRS04_RS16190,,+,HRS04_RS16195,,+,True
54,706,HRS04_RS03525,,-,HRS04_RS03530,,+,False
55,696,HRS04_RS02995,tssB,-,HRS04_RS03000,,+,False
56,694,HRS04_RS07220,ycdU,+,HRS04_RS07235,ghrA,+,True
57,691,HRS04_RS03160,,-,HRS04_RS03165,,+,False
58,685,HRS04_RS21530,thrP,+,HRS04_RS21555,aslB,+,True
59,684,HRS04_RS06430,clpA,+,HRS04_RS06440,infA,-,False
60,683,HRS04_RS13860,yfcV,-,HRS04_RS13865,sixA,-,True
61,678,HRS04_RS21560,,-,HRS04_RS21565,hemY,-,True
62,674,HRS04_RS18375,mnmL,-,HRS04_RS18380,gltB,+,False
63,669,HRS04_RS01630,yjjZ,+,HRS04_RS01650,rsmC,-,False
64,669,HRS04_RS11195,yobF,-,HRS04_RS11200,yebO,-,True
65,667,HRS04_RS15365,stpA,-,HRS04_RS15370,alaE,+,False
66,665,HRS04_RS07160,putP,+,HRS04_RS07165,efeU,+,True
67,660,HRS04_RS19660,yhiM,+,HRS04_RS19665,pcoE,-,False
68,659,HRS04_RS02185,leuL,-,HRS04_RS02190,leuO,+,False
69,655,HRS04_RS03520,,+,HRS04_RS03525,,-,False
70,650,HRS04_RS11945,drpB,-,HRS04_RS11950,ompC,+,False
71,649,HRS04_RS11690,yecA,-,HRS04_RS11710,pgsA,-,True
72,630,HRS04_RS12035,yeeN,+,HRS04_RS12045,yeeO,-,False
73,630,HRS04_RS13610,nuoA,-,HRS04_RS13615,lrhA,-,True
74,630,HRS04_RS18170,rimP,-,HRS04_RS18180,argG,+,False
75,621,HRS04_RS15980,yqcC,-,HRS04_RS15985,syd,-,True
76,620,HRS04_RS01610,yjjP,-,HRS04_RS01615,yjjQ,+,False
77,619,HRS04_RS14085,pdeA,-,HRS04_RS14100,yfeC,+,False
78,618,HRS04_RS07175,efeB,+,HRS04_RS07180,phoH,+,True
79,616,HRS04_RS21255,atpI,-,HRS04_RS21260,rsmG,-,True
80,611,HRS04_RS19295,malP,-,HRS04_RS19300,malT,+,False
81,610,HRS04_RS10225,nth,+,HRS04_RS10230,dtpA,+,True
82,605,HRS04_RS08185,hns,-,HRS04_RS08190,tdk,+,False
