gen1_locus,gen1_nombre,gen1_fin,gen1_hebra,gen2_locus,gen2_nombre,gen2_inicio,gen2_hebra,distancia_pb,tipo,misma_hebra
b0001,thrL,255,+,b0002,thrA,336,+,81,Cercano (50-100 pb),True
b0002,thrA,2799,+,b0003,thrB,2800,+,1,Muy cercano (< 50 pb),True
b0003,thrB,3733,+,b0004,thrC,3733,+,0,Adyacente,True
b0004,thrC,5020,+,b0005,yaaX,5233,+,213,Normal (200-500 pb),True
b0005,yaaX,5530,+,b0006,yaaA,5682,-,152,Moderado (100-200 pb),False
b0006,yaaA,6459,-,b0007,yaaJ,6528,-,69,Cercano (50-100 pb),True
b0007,yaaJ,7959,-,b0008,talB,8237,+,278,Normal (200-500 pb),False
b0008,talB,9191,+,b0009,mog,9305,+,114,Moderado (100-200 pb),True
b0009,mog,9893,+,b0010,satP,9927,-,34,Muy cercano (< 50 pb),False
b0010,satP,10494,-,b0011,yaaW,10642,-,148,Moderado (100-200 pb),True
b0011,yaaW,11356,-,b0012,mbiA,10829,+,-527,Solapado,False
b0012,mbiA,11315,+,b0013,yaaI,11381,-,66,Cercano (50-100 pb),False
b0013,yaaI,11786,-,b0014,dnaK,12162,+,376,Normal (200-500 pb),False
b0014,dnaK,14079,+,b0015,dnaJ,14167,+,88,Cercano (50-100 pb),True
b0015,dnaJ,15298,+,b0016,insL1,15444,+,146,Moderado (100-200 pb),True
b0016,insL1,16557,+,b0018,mokC,16750,-,193,Moderado (100-200 pb),False
b0018,mokC,16960,-,b4412,hokC,16750,-,-210,Solapado,True
b4412,hokC,16903,-,b0019,nhaA,17488,+,585,Grande (> 500 pb),False
b0019,nhaA,18655,+,b0020,nhaR,18714,+,59,Cercano (50-100 pb),True
b0020,nhaR,19620,+,b0021,insB1,19810,-,190,Moderado (100-200 pb),False
b0021,insB1,20314,-,b0022,insA1,20232,-,-82,Solapado,True
b0022,insA1,20508,-,b0023,rpsT,20814,-,306,Normal (200-500 pb),True
b0023,rpsT,21078,-,b0024,yaaY,21180,+,102,Moderado (100-200 pb),False
b0024,yaaY,21399,+,b0025,ribF,21406,+,7,Muy cercano (< 50 pb),True
b0025,ribF,22348,+,b0026,ileS,22390,+,42,Muy cercano (< 50 pb),True
b0026,ileS,25207,+,b0027,lspA,25206,+,-1,Solapado,True
b0027,lspA,25701,+,b0028,fkpB,25825,+,124,Moderado (100-200 pb),True
b0028,fkpB,26275,+,b0029,ispH,26276,+,1,Muy cercano (< 50 pb),True
b0029,ispH,27227,+,b0030,rihC,27292,+,65,Cercano (50-100 pb),True
b0030,rihC,28207,+,b0031,dapB,28373,+,166,Moderado (100-200 pb),True
b0031,dapB,29195,+,b0032,carA,29650,+,455,Normal (200-500 pb),True
b0032,carA,30799,+,b0033,carB,30816,+,17,Muy cercano (< 50 pb),True
b0033,carB,34038,+,b0034,caiF,34299,+,261,Normal (200-500 pb),True
b0034,caiF,34695,+,b0035,caiE,34780,-,85,Cercano (50-100 pb),False
b0035,caiE,35371,-,b0036,caiD,35376,-,5,Muy cercano (< 50 pb),True
b0036,caiD,36162,-,b0037,caiC,36270,-,108,Moderado (100-200 pb),True
b0037,caiC,37824,-,b0038,caiB,37897,-,73,Cercano (50-100 pb),True
b0038,caiB,39115,-,b0039,caiA,39243,-,128,Moderado (100-200 pb),True
b0039,caiA,40386,-,b0040,caiT,40416,-,30,Muy cercano (< 50 pb),True
b0040,caiT,41931,-,b0041,fixA,42402,+,471,Normal (200-500 pb),False
b0041,fixA,43173,+,b0042,fixB,43187,+,14,Muy cercano (< 50 pb),True
b0042,fixB,44129,+,b0043,fixC,44179,+,50,Cercano (50-100 pb),True
b0043,fixC,45466,+,b0044,fixX,45462,+,-4,Solapado,True
b0044,fixX,45750,+,b0045,yaaU,45806,+,56,Cercano (50-100 pb),True
b0045,yaaU,47138,+,b0046,kefF,47245,+,107,Moderado (100-200 pb),True
b0046,kefF,47776,+,b0047,kefC,47768,+,-8,Solapado,True
b0047,kefC,49631,+,b0048,folA,49822,+,191,Moderado (100-200 pb),True
b0048,folA,50302,+,b0049,apaH,50379,-,77,Cercano (50-100 pb),False
b0049,apaH,51222,-,b0050,apaG,51228,-,6,Muy cercano (< 50 pb),True
b0050,apaG,51606,-,b0051,rsmA,51608,-,2,Muy cercano (< 50 pb),True
b0051,rsmA,52430,-,b0052,pdxA,52426,-,-4,Solapado,True
b0052,pdxA,53416,-,b0053,surA,53415,-,-1,Solapado,True
b0053,surA,54702,-,b0054,lptD,54754,-,52,Cercano (50-100 pb),True
b0054,lptD,57109,-,b0055,djlA,57363,+,254,Normal (200-500 pb),False
b0055,djlA,58179,+,b0056,yabP,58473,+,294,Normal (200-500 pb),True
b0056,yabP,59124,+,b0057,yabQ,59120,+,-4,Solapado,True
b0057,yabQ,59279,+,b0058,rluA,59686,-,407,Normal (200-500 pb),False
b0058,rluA,60346,-,b0059,rapA,60357,-,11,Muy cercano (< 50 pb),True
b0059,rapA,63264,-,b0060,polB,63428,-,164,Moderado (100-200 pb),True
b0060,polB,65780,-,b0061,araD,65854,-,74,Cercano (50-100 pb),True
b0061,araD,66550,-,b0062,araA,66834,-,284,Normal (200-500 pb),True
b0062,araA,68337,-,b0063,araB,68347,-,10,Muy cercano (< 50 pb),True
b0063,araB,70048,-,b0064,araC,70386,+,338,Normal (200-500 pb),False
b0064,araC,71265,+,b0065,yabI,71350,+,85,Cercano (50-100 pb),True
b0065,yabI,72115,+,b0066,thiQ,72228,-,113,Moderado (100-200 pb),False
b0066,thiQ,72927,-,b0067,thiP,72910,-,-17,Solapado,True
b0067,thiP,74521,-,b0068,thiB,74496,-,-25,Solapado,True
b0068,thiB,75480,-,b0069,sgrR,75643,-,163,Moderado (100-200 pb),True
b0069,sgrR,77299,-,b4662,sgrT,77387,+,88,Cercano (50-100 pb),False
b4662,sgrT,77519,+,b0070,setA,77620,+,101,Moderado (100-200 pb),True
b0070,setA,78799,+,b0071,leuD,78847,-,48,Muy cercano (< 50 pb),False
b0071,leuD,79453,-,b0072,leuC,79463,-,10,Muy cercano (< 50 pb),True
b0072,leuC,80864,-,b0073,leuB,80866,-,2,Muy cercano (< 50 pb),True
b0073,leuB,81958,-,b0074,leuA,81957,-,-1,Solapado,True
b0074,leuA,83529,-,b0075,leuL,83621,-,92,Cercano (50-100 pb),True
b0075,leuL,83708,-,b0076,leuO,84367,+,659,Grande (> 500 pb),False
b0076,leuO,85312,+,b4726,yabR,85466,-,154,Moderado (100-200 pb),False
b4726,yabR,85511,-,b0077,ilvI,85629,+,118,Moderado (100-200 pb),False
b0077,ilvI,87354,+,b0078,ilvH,87356,+,2,Muy cercano (< 50 pb),True
b0078,ilvH,87848,+,b0080,cra,88027,+,179,Moderado (100-200 pb),True
b0080,cra,89032,+,b0081,mraZ,89633,+,601,Grande (> 500 pb),True
b0081,mraZ,90092,+,b0082,rsmH,90093,+,1,Muy cercano (< 50 pb),True
b0082,rsmH,91035,+,b0083,ftsL,91031,+,-4,Solapado,True
b0083,ftsL,91397,+,b0084,ftsI,91412,+,15,Muy cercano (< 50 pb),True
b0084,ftsI,93179,+,b0085,murE,93165,+,-14,Solapado,True
b0085,murE,94653,+,b0086,murF,94649,+,-4,Solapado,True
b0086,murF,96008,+,b0087,mraY,96001,+,-7,Solapado,True
b0087,mraY,97084,+,b0088,murD,97086,+,2,Muy cercano (< 50 pb),True
b0088,murD,98403,+,b0089,ftsW,98402,+,-1,Solapado,True
b0089,ftsW,99647,+,b0090,murG,99643,+,-4,Solapado,True
b0090,murG,100711,+,b0091,murC,100764,+,53,Cercano (50-100 pb),True
b0091,murC,102240,+,b0092,ddlB,102232,+,-8,Solapado,True
b0092,ddlB,103153,+,b0093,ftsQ,103154,+,1,Muy cercano (< 50 pb),True
b0093,ftsQ,103985,+,b0094,ftsA,103981,+,-4,Solapado,True
b0094,ftsA,105244,+,b0095,ftsZ,105304,+,60,Cercano (50-100 pb),True
b0095,ftsZ,106456,+,b0096,lpxC,106556,+,100,Moderado (100-200 pb),True
b0096,lpxC,107474,+,b0097,secM,107704,+,230,Normal (200-500 pb),True
b0097,secM,108217,+,b0098,secA,108278,+,61,Cercano (50-100 pb),True
b0098,secA,110984,+,b0099,mutT,111043,+,59,Cercano (50-100 pb),True
b0099,mutT,111433,+,b0101,yacG,111648,-,215,Normal (200-500 pb),False
b0101,yacG,111846,-,b0102,zapD,111855,-,9,Muy cercano (< 50 pb),True
b0102,zapD,112599,-,b0103,coaE,112598,-,-1,Solapado,True
b0103,coaE,113219,-,b4727,yacM,113243,+,24,Muy cercano (< 50 pb),False
b4727,yacM,113288,+,b0104,guaC,113443,+,155,Moderado (100-200 pb),True
b0104,guaC,114487,+,b0106,hofC,114521,-,34,Muy cercano (< 50 pb),False
b0106,hofC,115724,-,b0107,hofB,115713,-,-11,Solapado,True
b0107,hofB,117099,-,b0108,ppdD,117108,-,9,Muy cercano (< 50 pb),True
b0108,ppdD,117549,-,b0109,nadC,117751,-,202,Normal (200-500 pb),True
b0109,nadC,118645,-,b0110,ampD,118732,+,87,Cercano (50-100 pb),False
b0110,ampD,119284,+,b0111,ampE,119280,+,-4,Solapado,True
b0111,ampE,120135,+,b0112,aroP,120177,-,42,Muy cercano (< 50 pb),False
b0112,aroP,121551,-,b0113,pdhR,122091,+,540,Grande (> 500 pb),False
b0113,pdhR,122856,+,b0114,aceE,123016,+,160,Moderado (100-200 pb),True
b0114,aceE,125680,+,b0115,aceF,125694,+,14,Muy cercano (< 50 pb),True
b0115,aceF,127587,+,b0116,lpd,127911,+,324,Normal (200-500 pb),True
b0116,lpd,129336,+,b0117,yacH,129406,-,70,Cercano (50-100 pb),False
b0117,yacH,131260,-,b0118,acnB,131614,+,354,Normal (200-500 pb),False
b0118,acnB,134212,+,b0119,yacL,134387,+,175,Moderado (100-200 pb),True
b0119,yacL,134750,+,b0120,speD,134787,-,37,Muy cercano (< 50 pb),False
b0120,speD,135582,-,b0121,speE,135597,-,15,Muy cercano (< 50 pb),True
b0121,speE,136464,-,b0122,yacC,136569,-,105,Moderado (100-200 pb),True
b0122,yacC,136917,-,b0123,cueO,137082,+,165,Moderado (100-200 pb),False
b0123,cueO,138633,+,b0124,gcd,138834,-,201,Normal (200-500 pb),False
b0124,gcd,141225,-,b0125,hpt,141430,+,205,Normal (200-500 pb),False
b0125,hpt,141967,+,b0126,can,142007,-,40,Muy cercano (< 50 pb),False
b0126,can,142670,-,b0127,yadG,142778,+,108,Moderado (100-200 pb),False
b0127,yadG,143705,+,b0128,yadH,143701,+,-4,Solapado,True
b0128,yadH,144472,+,b0129,yadI,144576,+,104,Moderado (100-200 pb),True
b0129,yadI,145017,+,b0130,yadE,145080,+,63,Cercano (50-100 pb),True
b0130,yadE,146310,+,b0131,panD,146313,-,3,Muy cercano (< 50 pb),False
b0131,panD,146694,-,b0132,rpnC,146967,+,273,Normal (200-500 pb),False
b0132,rpnC,147870,+,b0133,panC,147943,-,73,Cercano (50-100 pb),False
b0133,panC,148795,-,b0134,panB,148806,-,11,Muy cercano (< 50 pb),True
b0134,panB,149601,-,b0135,yadC,149714,-,113,Moderado (100-200 pb),True
b0135,yadC,150953,-,b0136,yadK,151002,-,49,Muy cercano (< 50 pb),True
b0136,yadK,151599,-,b0137,yadL,151625,-,26,Muy cercano (< 50 pb),True
b0137,yadL,152231,-,b0138,yadM,152242,-,11,Muy cercano (< 50 pb),True
b0138,yadM,152812,-,b0139,htrE,152828,-,16,Muy cercano (< 50 pb),True
b0139,htrE,155426,-,b0140,yadV,155460,-,34,Muy cercano (< 50 pb),True
b0140,yadV,156201,-,b0141,yadN,156298,-,97,Cercano (50-100 pb),True
b0141,yadN,156883,-,b0142,folK,157252,-,369,Normal (200-500 pb),True
b0142,folK,157732,-,b0143,pcnB,157728,-,-4,Solapado,True
b0143,pcnB,159126,-,b0144,gluQ,159185,-,59,Cercano (50-100 pb),True
b0144,gluQ,160112,-,b0145,dksA,160148,-,36,Muy cercano (< 50 pb),True
b0145,dksA,160604,-,b0146,sfsA,160781,-,177,Moderado (100-200 pb),True
b0146,sfsA,161486,-,b0147,thpR,161500,-,14,Muy cercano (< 50 pb),True
b0147,thpR,162031,-,b0148,hrpB,162104,+,73,Cercano (50-100 pb),False
b0148,hrpB,164534,+,b0149,mrcB,164729,+,195,Moderado (100-200 pb),True
b0149,mrcB,167264,+,b0149,mrcB,164864,+,-2400,Solapado,True
b0149,mrcB,167264,+,b0150,fhuA,167483,+,219,Normal (200-500 pb),True
b0150,fhuA,169727,+,b0151,fhuC,169777,+,50,Cercano (50-100 pb),True
b0151,fhuC,170575,+,b0152,fhuD,170574,+,-1,Solapado,True
b0152,fhuD,171465,+,b0153,fhuB,171461,+,-4,Solapado,True
b0153,fhuB,173444,+,b0154,hemL,173601,-,157,Moderado (100-200 pb),False
b0154,hemL,174882,-,b4765,yadX,175047,+,165,Moderado (100-200 pb),False
b4765,yadX,175095,+,b0155,clcA,175106,+,11,Muy cercano (< 50 pb),True
b0155,clcA,176528,+,b4728,yadW,176551,+,23,Muy cercano (< 50 pb),True
b4728,yadW,176617,+,b0156,erpA,176609,+,-8,Solapado,True
b0156,erpA,176954,+,b0157,yadS,177000,-,46,Muy cercano (< 50 pb),False
b0157,yadS,177624,-,b0158,btuF,177661,-,37,Muy cercano (< 50 pb),True
b0158,btuF,178462,-,b0159,mtn,178454,-,-8,Solapado,True
b0159,mtn,179153,-,b0160,dgt,179236,+,83,Cercano (50-100 pb),False
b0160,dgt,180754,+,b0161,degP,180883,+,129,Moderado (100-200 pb),True
b0161,degP,182308,+,b0162,cdaR,182462,+,154,Moderado (100-200 pb),True
b0162,cdaR,183620,+,b0163,yaeH,183708,-,88,Cercano (50-100 pb),False
b0163,yaeH,184095,-,b0164,yaeI,184256,-,161,Moderado (100-200 pb),True
b0164,yaeI,185069,-,b0166,dapD,185122,-,53,Cercano (50-100 pb),True
b0166,dapD,185947,-,b0167,glnD,185977,-,30,Muy cercano (< 50 pb),True
b0167,glnD,188650,-,b0168,map,188711,-,61,Cercano (50-100 pb),True
b0168,map,189506,-,b0169,rpsB,189873,+,367,Normal (200-500 pb),False
b0169,rpsB,190599,+,b0170,tsf,190856,+,257,Normal (200-500 pb),True
b0170,tsf,191708,+,b0171,pyrH,191854,+,146,Moderado (100-200 pb),True
b0171,pyrH,192580,+,b0172,frr,192871,+,291,Normal (200-500 pb),True
b0172,frr,193429,+,b0173,dxr,193520,+,91,Cercano (50-100 pb),True
b0173,dxr,194717,+,b0174,ispU,194902,+,185,Moderado (100-200 pb),True
b0174,ispU,195664,+,b0175,cdsA,195676,+,12,Muy cercano (< 50 pb),True
b0175,cdsA,196534,+,b0176,rseP,196545,+,11,Muy cercano (< 50 pb),True
b0176,rseP,197898,+,b0177,bamA,197927,+,29,Muy cercano (< 50 pb),True
b0177,bamA,200360,+,b0178,skp,200481,+,121,Moderado (100-200 pb),True
b0178,skp,200967,+,b0179,lpxD,200970,+,3,Muy cercano (< 50 pb),True
b0179,lpxD,201996,+,b0180,fabZ,202100,+,104,Moderado (100-200 pb),True
b0180,fabZ,202556,+,b0181,lpxA,202559,+,3,Muy cercano (< 50 pb),True
