gen1_locus,gen1_nombre,gen1_fin,gen1_hebra,gen2_locus,gen2_nombre,gen2_inicio,gen2_hebra,distancia_pb,tipo,misma_hebra
ACBD56_RS13410,,3237,+,ACBD56_RS13415,,3522,-,285,Normal (200-500 pb),False
ACBD56_RS13415,,5103,-,ACBD56_RS13420,,5083,-,-20,Solapado,True
ACBD56_RS13420,,6571,-,ACBD56_RS13425,,6725,-,154,Moderado (100-200 pb),True
ACBD56_RS13425,,8195,-,ACBD56_RS13430,deoD,8259,-,64,Cercano (50-100 pb),True
ACBD56_RS13430,deoD,8970,-,ACBD56_RS13435,,9291,+,321,Normal (200-500 pb),False
ACBD56_RS13435,,10245,+,ACBD56_RS13440,,10234,+,-11,Solapado,True
ACBD56_RS13440,,11032,+,ACBD56_RS13445,phrB,11041,+,9,Muy cercano (< 50 pb),True
ACBD56_RS13445,phrB,12451,+,ACBD56_RS13450,,12459,+,8,Muy cercano (< 50 pb),True
ACBD56_RS13450,,13380,+,ACBD56_RS13455,,13465,-,85,Cercano (50-100 pb),False
ACBD56_RS13455,,13714,-,ACBD56_RS13460,,14256,+,542,Grande (> 500 pb),False
ACBD56_RS13460,,15603,+,ACBD56_RS13465,,15816,+,213,Normal (200-500 pb),True
ACBD56_RS13465,,17814,+,ACBD56_RS13470,,17813,+,-1,Solapado,True
ACBD56_RS13470,,19955,+,ACBD56_RS13475,,19964,+,9,Muy cercano (< 50 pb),True
ACBD56_RS13475,,22271,+,ACBD56_RS13480,,22267,+,-4,Solapado,True
ACBD56_RS13480,,23710,+,ACBD56_RS13485,,23706,+,-4,Solapado,True
ACBD56_RS13485,,24267,+,ACBD56_RS13490,,24400,-,133,Moderado (100-200 pb),False
ACBD56_RS13490,,26044,-,ACBD56_RS13495,,26414,+,370,Normal (200-500 pb),False
ACBD56_RS13495,,27236,+,ACBD56_RS13500,pstC,27313,+,77,Cercano (50-100 pb),True
ACBD56_RS13500,pstC,28234,+,ACBD56_RS13505,pstA,28239,+,5,Muy cercano (< 50 pb),True
ACBD56_RS13505,pstA,29103,+,ACBD56_RS13510,pstB,29131,+,28,Muy cercano (< 50 pb),True
ACBD56_RS13510,pstB,29887,+,ACBD56_RS13515,,29933,-,46,Muy cercano (< 50 pb),False
ACBD56_RS13515,,31034,-,ACBD56_RS13520,,31030,-,-4,Solapado,True
ACBD56_RS13520,,31498,-,ACBD56_RS13525,,31781,-,283,Normal (200-500 pb),True
ACBD56_RS13525,,33158,-,ACBD56_RS13530,,33593,-,435,Normal (200-500 pb),True
ACBD56_RS13530,,35255,-,ACBD56_RS13535,,35592,+,337,Normal (200-500 pb),False
ACBD56_RS13535,,35892,+,ACBD56_RS13540,shyA,36125,+,233,Normal (200-500 pb),True
ACBD56_RS13540,shyA,37376,+,ACBD56_RS13545,,37493,-,117,Moderado (100-200 pb),False
ACBD56_RS13545,,39317,-,ACBD56_RS13550,,39539,-,222,Normal (200-500 pb),True
ACBD56_RS13550,,40427,-,ACBD56_RS13555,,40516,+,89,Cercano (50-100 pb),False
ACBD56_RS13555,,41728,+,ACBD56_RS13560,soxR,41769,-,41,Muy cercano (< 50 pb),False
ACBD56_RS13560,soxR,42216,-,ACBD56_RS13565,,42394,+,178,Moderado (100-200 pb),False
ACBD56_RS13565,,43597,+,ACBD56_RS13570,,43727,+,130,Moderado (100-200 pb),True
ACBD56_RS13570,,44078,+,ACBD56_RS13575,,44181,+,103,Moderado (100-200 pb),True
ACBD56_RS13575,,44316,+,ACBD56_RS13580,,44444,-,128,Moderado (100-200 pb),False
ACBD56_RS13580,,45746,-,ACBD56_RS13585,,46009,-,263,Normal (200-500 pb),True
ACBD56_RS13585,,46903,-,ACBD56_RS13590,,47132,+,229,Normal (200-500 pb),False
ACBD56_RS13590,,47429,+,ACBD56_RS13595,,47599,-,170,Moderado (100-200 pb),False
ACBD56_RS13595,,48229,-,ACBD56_RS13600,,48726,+,497,Normal (200-500 pb),False
ACBD56_RS13600,,49083,+,ACBD56_RS13605,,49360,+,277,Normal (200-500 pb),True
ACBD56_RS13605,,50050,+,ACBD56_RS13610,,50092,+,42,Muy cercano (< 50 pb),True
ACBD56_RS13610,,51334,+,ACBD56_RS13615,,51346,-,12,Muy cercano (< 50 pb),False
ACBD56_RS13615,,52063,-,ACBD56_RS13620,pncB,52461,+,398,Normal (200-500 pb),False
ACBD56_RS13620,pncB,53769,+,ACBD56_RS13625,,53799,+,30,Muy cercano (< 50 pb),True
ACBD56_RS13625,,54840,+,ACBD56_RS13630,,54876,-,36,Muy cercano (< 50 pb),False
ACBD56_RS13630,,55233,-,ACBD56_RS13635,,55247,-,14,Muy cercano (< 50 pb),True
ACBD56_RS13635,,56804,-,ACBD56_RS13640,,56979,-,175,Moderado (100-200 pb),True
ACBD56_RS13640,,57630,-,ACBD56_RS13645,,57819,+,189,Moderado (100-200 pb),False
ACBD56_RS13645,,59598,+,ACBD56_RS13650,,59639,-,41,Muy cercano (< 50 pb),False
ACBD56_RS13650,,61319,-,ACBD56_RS13655,,62090,+,771,Grande (> 500 pb),False
ACBD56_RS13655,,62375,+,ACBD56_RS13660,,62442,+,67,Cercano (50-100 pb),True
ACBD56_RS13660,,63363,+,ACBD56_RS13665,tssB,63794,+,431,Normal (200-500 pb),True
ACBD56_RS13665,tssB,64301,+,ACBD56_RS13670,tssC,64344,+,43,Muy cercano (< 50 pb),True
ACBD56_RS13670,tssC,65820,+,ACBD56_RS13675,tssE,65822,+,2,Muy cercano (< 50 pb),True
ACBD56_RS13675,tssE,66260,+,ACBD56_RS13680,tssF,66265,+,5,Muy cercano (< 50 pb),True
ACBD56_RS13680,tssF,68035,+,ACBD56_RS13685,tssG,67998,+,-37,Solapado,True
ACBD56_RS13685,tssG,69015,+,ACBD56_RS13690,tagH,69017,+,2,Muy cercano (< 50 pb),True
ACBD56_RS13690,tagH,70505,+,ACBD56_RS13695,tssJ,70507,+,2,Muy cercano (< 50 pb),True
ACBD56_RS13695,tssJ,70984,+,ACBD56_RS13700,tssK,70990,+,6,Muy cercano (< 50 pb),True
ACBD56_RS13700,tssK,72325,+,ACBD56_RS13705,icmH,72327,+,2,Muy cercano (< 50 pb),True
ACBD56_RS13705,icmH,73101,+,ACBD56_RS13710,tssH,73126,+,25,Muy cercano (< 50 pb),True
ACBD56_RS13710,tssH,75736,+,ACBD56_RS13715,vasH,75738,+,2,Muy cercano (< 50 pb),True
ACBD56_RS13715,vasH,77331,+,ACBD56_RS13720,vasI,77327,+,-4,Solapado,True
ACBD56_RS13720,vasI,77984,+,ACBD56_RS13725,vasJ,77993,+,9,Muy cercano (< 50 pb),True
ACBD56_RS13725,vasJ,79403,+,ACBD56_RS13730,tssM,79418,+,15,Muy cercano (< 50 pb),True
ACBD56_RS13730,tssM,82964,+,ACBD56_RS13735,,83014,+,50,Cercano (50-100 pb),True
ACBD56_RS13735,,84277,+,ACBD56_RS13740,tssI,84529,+,252,Normal (200-500 pb),True
ACBD56_RS13740,tssI,87583,+,ACBD56_RS13745,tsiV3,87579,+,-4,Solapado,True
ACBD56_RS13745,tsiV3,87948,+,ACBD56_RS13750,,88095,-,147,Moderado (100-200 pb),False
ACBD56_RS13750,,88356,-,ACBD56_RS13755,rbsD,88639,+,283,Normal (200-500 pb),False
ACBD56_RS13755,rbsD,89059,+,ACBD56_RS13760,rbsA,89085,+,26,Muy cercano (< 50 pb),True
ACBD56_RS13760,rbsA,90588,+,ACBD56_RS13765,rbsC,90602,+,14,Muy cercano (< 50 pb),True
ACBD56_RS13765,rbsC,91586,+,ACBD56_RS13770,rbsB,91646,+,60,Cercano (50-100 pb),True
