Metrica,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Escherichia coli,Diferencia,Unidad
Longitud_genoma,4857450,4832047,-25403,pb
Contenido_GC,52.22,50.77,-1.45,%
Total_genes_CDS,4452,4543,91,genes
Densidad_genica,86.89,188.31,101.42,%
Tamano_promedio_gen,948.05,2002.92,1054.8700000000001,pb
