gen1_locus,gen1_nombre,gen1_fin,gen1_hebra,gen2_locus,gen2_nombre,gen2_inicio,gen2_hebra,distancia_pb,tipo,misma_hebra
ACUCMD_RS00005,dnaA,1701,+,ACUCMD_RS00010,dnaN,2228,+,527,Grande (> 500 pb),True
ACUCMD_RS00010,dnaN,3437,+,ACUCMD_RS00015,recF,3456,+,19,Muy cercano (< 50 pb),True
ACUCMD_RS00015,recF,4614,+,ACUCMD_RS00020,,4610,+,-4,Solapado,True
ACUCMD_RS00020,,5174,+,ACUCMD_RS00025,gyrB,5416,+,242,Normal (200-500 pb),True
ACUCMD_RS00025,gyrB,7444,+,ACUCMD_RS00030,gyrA,7478,+,34,Muy cercano (< 50 pb),True
ACUCMD_RS00030,gyrA,9995,+,ACUCMD_RS00035,,10090,+,95,Cercano (50-100 pb),True
ACUCMD_RS00035,,11005,+,ACUCMD_RS00050,,11731,-,726,Grande (> 500 pb),False
ACUCMD_RS00050,,11869,-,ACUCMD_RS00055,cwsA,12050,-,181,Moderado (100-200 pb),True
ACUCMD_RS00055,cwsA,12488,-,ACUCMD_RS00060,ppiA,12644,+,156,Moderado (100-200 pb),False
ACUCMD_RS00060,ppiA,13193,+,ACUCMD_RS00065,,13309,-,116,Moderado (100-200 pb),False
ACUCMD_RS00065,,13735,-,ACUCMD_RS00070,crgA,13890,-,155,Moderado (100-200 pb),True
ACUCMD_RS00070,crgA,14172,-,ACUCMD_RS00075,,14310,+,138,Moderado (100-200 pb),False
ACUCMD_RS00075,,15054,+,ACUCMD_RS00080,trpG,15090,+,36,Muy cercano (< 50 pb),True
ACUCMD_RS00080,trpG,15789,+,ACUCMD_RS00085,pknB,15766,-,-23,Solapado,False
ACUCMD_RS00085,pknB,17647,-,ACUCMD_RS00090,pknA,17643,-,-4,Solapado,True
ACUCMD_RS00090,pknA,18939,-,ACUCMD_RS00095,pbpA,18935,-,-4,Solapado,True
ACUCMD_RS00095,pbpA,20411,-,ACUCMD_RS00100,rodA,20407,-,-4,Solapado,True
ACUCMD_RS00100,rodA,21817,-,ACUCMD_RS00105,pstP,21813,-,-4,Solapado,True
ACUCMD_RS00105,pstP,23349,-,ACUCMD_RS00110,fhaB,23446,-,97,Cercano (50-100 pb),True
ACUCMD_RS00110,fhaB,23914,-,ACUCMD_RS00115,fhaA,24037,-,123,Moderado (100-200 pb),True
ACUCMD_RS00115,fhaA,25621,-,ACUCMD_RS00125,,26089,-,468,Normal (200-500 pb),True
ACUCMD_RS00125,,27058,-,ACUCMD_RS00130,whiB5,27199,-,141,Moderado (100-200 pb),True
ACUCMD_RS00130,whiB5,27619,-,ACUCMD_RS00135,,27771,+,152,Moderado (100-200 pb),False
ACUCMD_RS00135,,28542,+,ACUCMD_RS00140,,28525,+,-17,Solapado,True
ACUCMD_RS00140,,29383,+,ACUCMD_RS00145,,29420,+,37,Muy cercano (< 50 pb),True
ACUCMD_RS00145,,29783,+,ACUCMD_RS00150,,29915,+,132,Moderado (100-200 pb),True
ACUCMD_RS00150,,31327,+,ACUCMD_RS00155,,31364,+,37,Muy cercano (< 50 pb),True
ACUCMD_RS00155,,31682,+,ACUCMD_RS00160,,31689,+,7,Muy cercano (< 50 pb),True
ACUCMD_RS00160,,31995,+,ACUCMD_RS00165,,31999,-,4,Muy cercano (< 50 pb),False
ACUCMD_RS00165,,32143,-,ACUCMD_RS00170,,32232,+,89,Cercano (50-100 pb),False
ACUCMD_RS00170,,33330,+,ACUCMD_RS00175,,33399,+,69,Cercano (50-100 pb),True
ACUCMD_RS00175,,33729,+,ACUCMD_RS00180,,33742,+,13,Muy cercano (< 50 pb),True
ACUCMD_RS00180,,33868,+,ACUCMD_RS00185,,34470,+,602,Grande (> 500 pb),True
ACUCMD_RS00185,,36786,+,ACUCMD_RS00190,acpA,36782,+,-4,Solapado,True
ACUCMD_RS00190,acpA,37046,+,ACUCMD_RS00195,,37042,+,-4,Solapado,True
ACUCMD_RS00195,,37438,+,ACUCMD_RS00200,fadD34,37434,+,-4,Solapado,True
ACUCMD_RS00200,fadD34,39125,+,ACUCMD_RS00205,,39233,-,108,Moderado (100-200 pb),False
ACUCMD_RS00205,,40007,-,ACUCMD_RS00210,,40054,-,47,Muy cercano (< 50 pb),True
ACUCMD_RS00210,,41380,-,ACUCMD_RS00215,,41481,+,101,Moderado (100-200 pb),False
ACUCMD_RS00215,,42090,+,ACUCMD_RS00220,,42181,-,91,Cercano (50-100 pb),False
ACUCMD_RS00220,,42529,-,ACUCMD_RS00225,,42610,-,81,Cercano (50-100 pb),True
ACUCMD_RS00225,,43543,-,ACUCMD_RS00230,leuS,43739,+,196,Moderado (100-200 pb),False
ACUCMD_RS00230,leuS,46649,+,ACUCMD_RS00235,,46758,-,109,Moderado (100-200 pb),False
ACUCMD_RS00235,,47262,-,ACUCMD_RS00240,,47543,-,281,Normal (200-500 pb),True
ACUCMD_RS00240,,48278,-,ACUCMD_RS00245,,48410,-,132,Moderado (100-200 pb),True
ACUCMD_RS00245,,49205,-,ACUCMD_RS00250,,49220,-,15,Muy cercano (< 50 pb),True
ACUCMD_RS00250,,50115,-,ACUCMD_RS00255,,50196,-,81,Cercano (50-100 pb),True
ACUCMD_RS00255,,51300,-,ACUCMD_RS00260,,51360,-,60,Cercano (50-100 pb),True
ACUCMD_RS00260,,51903,-,ACUCMD_RS00265,,52003,-,100,Moderado (100-200 pb),True
ACUCMD_RS00265,,52873,-,ACUCMD_RS00270,,52985,+,112,Moderado (100-200 pb),False
ACUCMD_RS00270,,53420,+,ACUCMD_RS00275,ponA1,53412,+,-8,Solapado,True
ACUCMD_RS00275,ponA1,55884,+,ACUCMD_RS00280,,55880,+,-4,Solapado,True
ACUCMD_RS00280,,57563,+,ACUCMD_RS00285,,57519,+,-44,Solapado,True
ACUCMD_RS00285,,58158,+,ACUCMD_RS00290,rpsF,58376,+,218,Normal (200-500 pb),True
ACUCMD_RS00290,rpsF,58667,+,ACUCMD_RS00295,ssb,58770,+,103,Moderado (100-200 pb),True
ACUCMD_RS00295,ssb,59265,+,ACUCMD_RS00300,rpsR,59306,+,41,Muy cercano (< 50 pb),True
ACUCMD_RS00300,rpsR,59561,+,ACUCMD_RS00305,rplI,59593,+,32,Muy cercano (< 50 pb),True
ACUCMD_RS00305,rplI,60052,+,ACUCMD_RS00310,dnaB,60580,+,528,Grande (> 500 pb),True
ACUCMD_RS00310,dnaB,63205,+,ACUCMD_RS00315,darT,63384,+,179,Moderado (100-200 pb),True
ACUCMD_RS00315,darT,64077,+,ACUCMD_RS00320,darG,64093,+,16,Muy cercano (< 50 pb),True
ACUCMD_RS00320,darG,65152,+,ACUCMD_RS00325,,65196,-,44,Muy cercano (< 50 pb),False
ACUCMD_RS00325,,65535,-,ACUCMD_RS00330,,65584,-,49,Muy cercano (< 50 pb),True
ACUCMD_RS00330,,65842,-,ACUCMD_RS00335,,65736,+,-106,Solapado,False
ACUCMD_RS00335,,66879,+,ACUCMD_RS00340,,67107,+,228,Normal (200-500 pb),True
ACUCMD_RS00340,,68548,+,ACUCMD_RS00345,,68603,+,55,Cercano (50-100 pb),True
ACUCMD_RS00345,,68765,+,ACUCMD_RS00350,,68805,+,40,Muy cercano (< 50 pb),True
ACUCMD_RS00350,,71745,+,ACUCMD_RS00355,,71781,+,36,Muy cercano (< 50 pb),True
ACUCMD_RS00355,,72021,+,ACUCMD_RS00360,vapC1,72013,+,-8,Solapado,True
ACUCMD_RS00360,vapC1,72415,+,ACUCMD_RS00365,,72466,-,51,Cercano (50-100 pb),False
ACUCMD_RS00365,,74704,-,ACUCMD_RS00370,,74821,-,117,Moderado (100-200 pb),True
ACUCMD_RS00370,,75391,-,ACUCMD_RS00375,,75493,+,102,Moderado (100-200 pb),False
ACUCMD_RS00375,,76405,+,ACUCMD_RS00380,sdaA,76429,-,24,Muy cercano (< 50 pb),False
ACUCMD_RS00380,sdaA,77815,-,ACUCMD_RS00385,glyA,77811,-,-4,Solapado,True
ACUCMD_RS00385,glyA,79089,-,ACUCMD_RS00390,,79678,+,589,Grande (> 500 pb),False
ACUCMD_RS00390,,80386,+,ACUCMD_RS00395,,80473,+,87,Cercano (50-100 pb),True
ACUCMD_RS00395,,80746,+,ACUCMD_RS00400,,80816,+,70,Cercano (50-100 pb),True
ACUCMD_RS00400,,81866,+,ACUCMD_RS00405,,81868,+,2,Muy cercano (< 50 pb),True
ACUCMD_RS00405,,82861,+,ACUCMD_RS00410,,82940,+,79,Cercano (50-100 pb),True
ACUCMD_RS00410,,84176,+,ACUCMD_RS00415,,84188,+,12,Muy cercano (< 50 pb),True
ACUCMD_RS00415,,85361,+,ACUCMD_RS00420,,85375,-,14,Muy cercano (< 50 pb),False
ACUCMD_RS00420,,85756,-,ACUCMD_RS00425,,85828,-,72,Cercano (50-100 pb),True
ACUCMD_RS00425,,86659,-,ACUCMD_RS00430,,86720,+,61,Cercano (50-100 pb),False
ACUCMD_RS00430,,87326,+,ACUCMD_RS00435,,87400,-,74,Cercano (50-100 pb),False
ACUCMD_RS00435,,87994,-,ACUCMD_RS00440,,87990,-,-4,Solapado,True
ACUCMD_RS00440,,88197,-,ACUCMD_RS00445,,88396,+,199,Moderado (100-200 pb),False
ACUCMD_RS00445,,89218,+,ACUCMD_RS00450,,89214,+,-4,Solapado,True
ACUCMD_RS00450,,89673,+,ACUCMD_RS00455,,89767,+,94,Cercano (50-100 pb),True
ACUCMD_RS00455,,90112,+,ACUCMD_RS00460,,90116,+,4,Muy cercano (< 50 pb),True
ACUCMD_RS00460,,90596,+,ACUCMD_RS00465,,90592,+,-4,Solapado,True
ACUCMD_RS00465,,92515,+,ACUCMD_RS00470,hycD,92520,+,5,Muy cercano (< 50 pb),True
ACUCMD_RS00470,hycD,93471,+,ACUCMD_RS00475,,93481,+,10,Muy cercano (< 50 pb),True
ACUCMD_RS00475,,94144,+,ACUCMD_RS00480,hycQ,94143,+,-1,Solapado,True
ACUCMD_RS00480,hycQ,95610,+,ACUCMD_RS00485,hycE,95606,+,-4,Solapado,True
